Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.11.2020 08:45,13.0,703.6,761.0,0.9,85,,,,,, ,,,9.0,,,,"2500 or more, or no clouds.",,,8.0,10.6,No precipitation,24,,,,
19.11.2020 05:45,10.2,702.7,760.0,,97,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,9.8,,,,,,
18.11.2020 17:45,19.2,702.2,759.2,-0.2,71,Wind blowing from the west,1,,,no clouds, ,,,,26.2,,,,,,6.0,13.8,No precipitation,9,,,,
18.11.2020 14:45,25.8,702.4,759.4,-1.2,34,Wind blowing from the north-west,2,,,no clouds, ,,,,,,,,,,10.0,8.8,,,,,,
18.11.2020 11:45,23.0,703.6,760.9,0.0,52,Wind blowing from the west,1,,,no clouds, ,,,,,,,,,,10.0,12.5,,,,,,
18.11.2020 08:45,14.0,703.6,760.9,1.4,88,"Calm, no wind",0,,,no clouds, ,,,10.6,,,,,,,8.0,12.0,No precipitation,24,,,,
18.11.2020 05:45,11.4,702.2,759.4,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,10.7,,,,,,
17.11.2020 17:45,20.0,701.7,757.9,-4.0,69,Wind blowing from the north-west,1,,,50%., ,,,,26.7,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6.0,14.0,No precipitation,9,,,,
17.11.2020 14:45,26.0,705.7,763.0,1.5,31,Wind blowing from the west,3,,,no clouds, ,,,,,,,,,,12.0,7.6,,,,,,
17.11.2020 11:45,23.6,704.2,761.4,-0.3,47,Wind blowing from the west-northwest,2,,,no clouds, ,,,,,,,,,,12.0,11.7,,,,,,
17.11.2020 08:45,15.2,704.5,761.8,0.9,81,Wind blowing from the south,1,,,no clouds, ,,,10.7,,,,,,,8.0,11.9,No precipitation,24,,,,
17.11.2020 05:45,11.0,703.6,760.4,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,10.3,,,,,,
16.11.2020 17:45,20.2,704.4,761.2,,67,"Calm, no wind",0,,,no clouds, ,,,,27.2,,,,,,6.0,13.9,No precipitation,9,,,,
16.11.2020 05:45,15.8,705.1,762.4,,86,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,13.5,,,,,,
15.11.2020 17:45,21.0,703.8,760.4,,68,,,,,, ,,,,27.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",6.0,14.8,No precipitation,9,,,,
15.11.2020 11:45,23.6,705.5,762.7,,55,Wind blowing from the south-southwest,1,,,no clouds, ,,,,,,,,,,10.0,14.0,,,,,,
15.11.2020 05:45,11.4,704.7,761.9,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,10.7,,,,,,
14.11.2020 17:45,20.2,703.7,760.3,,66,"Calm, no wind",0,,,no clouds, ,,,,27.2,,,,,,6.0,13.6,No precipitation,9,,,,
14.11.2020 11:45,24.0,705.5,762.7,,53,Wind blowing from the east-southeast,1,,,no clouds, ,,,,,,,,,,8.0,13.7,,,,,,
14.11.2020 05:45,10.2,704.4,761.6,,93,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,9.1,,,,,,
13.11.2020 17:45,18.8,704.3,760.9,,62,"Calm, no wind",0,,,no clouds, ,,,,27.6,,,,,,6.0,11.2,No precipitation,9,,,,
13.11.2020 11:45,24.2,706.6,763.8,,42,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,8.0,10.4,,,,,,
13.11.2020 05:45,11.4,705.7,762.9,,96,Wind blowing from the south,1,,,no clouds, ,,,,,,,,,,5.0,10.7,,,,,,
12.11.2020 17:45,20.2,705.7,762.4,,67,"Calm, no wind",0,,,no clouds, ,,,,26.6,,,,,,6.0,13.9,No precipitation,9,,,,
12.11.2020 11:45,23.4,707.8,765.0,,51,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,8.0,12.6,,,,,,
12.11.2020 05:45,12.2,706.5,763.7,,98,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.9,,,,,,
11.11.2020 11:45,24.6,706.9,764.1,,58,Wind blowing from the south,1,,,no clouds, ,,,,,,,,,,8.0,15.9,,,,,,
11.11.2020 05:45,11.8,705.8,763.0,,96,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,5.0,11.1,,,,,,
10.11.2020 17:45,20.2,704.5,761.2,,72,Wind blowing from the north,1,,,no clouds, ,,,,27.3,,,,,,6.0,14.9,No precipitation,9,,,,
10.11.2020 11:45,24.4,705.1,762.4,,49,Wind blowing from the east,1,,,no clouds, ,,,,,,,,,,8.0,13.1,,,,,,
10.11.2020 05:45,11.4,704.9,762.1,,94,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,10.4,,,,,,
09.11.2020 17:45,20.0,704.5,761.2,,69,"Calm, no wind",0,,,no clouds, ,,,,27.5,,,,,,6.0,14.0,No precipitation,9,,,,
09.11.2020 11:45,24.4,706.0,763.2,,49,Wind blowing from the west,2,,,no clouds, ,,,,,,,,,,8.0,13.1,,,,,,
09.11.2020 05:45,11.6,705.7,762.4,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,10.9,,,,,,
08.11.2020 05:45,12.2,706.1,762.9,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.5,,,,,,
07.11.2020 17:45,20.6,705.7,762.4,,77,"Calm, no wind",0,,,no clouds, ,,,,25.7,,,,,,6.0,16.4,No precipitation,9,,,,
07.11.2020 11:45,23.2,706.8,763.8,,64,Wind blowing from the east,1,,,no clouds, ,,,,,,,,,,7.0,15.9,,,,,,
07.11.2020 05:45,13.0,705.5,762.3,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,12.3,,,,,,
06.11.2020 17:45,21.0,705.2,762.0,,72,"Calm, no wind",0,,,no clouds, ,,,,26.7,,,,,,6.0,15.8,No precipitation,9,,,,
06.11.2020 11:45,24.2,706.2,763.4,,55,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,14.7,,,,,,
06.11.2020 05:45,12.4,700.7,757.5,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.7,,,,,,
05.11.2020 17:45,20.4,703.6,760.3,,70,"Calm, no wind",0,,,no clouds, ,,,,26.6,,,,,,6.0,14.8,No precipitation,9,,,,
05.11.2020 11:45,23.8,704.2,761.4,,52,Wind blowing from the west,1,,,no clouds, ,,,,,,,,,,7.0,13.3,,,,,,
05.11.2020 05:45,12.0,702.4,759.1,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.3,,,,,,
04.11.2020 17:45,19.8,701.8,758.6,,59,Wind blowing from the north-east,1,,,"10%  or less, but not 0", ,,,,25.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,11.6,No precipitation,9,,,,
04.11.2020 05:45,15.4,702.7,759.3,,94,Wind blowing from the west,1,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5.0,14.4,,,,,,
03.11.2020 11:45,25.6,703.9,760.3,,66,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,18.7,,,,,,
03.11.2020 05:45,16.4,703.3,759.7,,94,"Calm, no wind",0,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,2000-2500,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",5.0,15.5,,,,,,
02.11.2020 17:45,25.0,703.0,759.0,,69,Wind blowing from the south-southwest,1,,,60%., ,,,,29.3,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,19.0,No precipitation,9,,,,
02.11.2020 05:45,16.8,703.2,759.6,,96,"Calm, no wind",0,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",5.0,16.2,,,,,,
01.11.2020 17:45,24.6,702.7,758.7,,73,"Calm, no wind",0,,,20–30%., ,,,,29.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",7.0,19.4,No precipitation,9,,,,
01.11.2020 11:45,27.2,704.2,760.4,,59,Wind blowing from the south-east,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,18.6,,,,,,
01.11.2020 05:45,17.0,702.7,759.1,,94,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,Altocumulus castellanus or floccus.,Cirrus spissatus cumulonimbogenitus.,5.0,16.1,,,,,,
31.10.2020 17:45,25.0,702.4,758.4,,71,"Calm, no wind",0,,,20–30%., ,,,,31.0,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",7.0,19.3,No precipitation,9,,,,
31.10.2020 11:45,28.6,703.6,760.0,,48,Wind blowing from the east-southeast,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,16.5,,,,,,
31.10.2020 05:45,15.6,702.7,759.4,,94,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,14.7,,,,,,
30.10.2020 17:45,24.6,702.1,758.1,,66,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,30.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,17.9,No precipitation,9,,,,
30.10.2020 11:45,27.4,703.6,760.2,,51,Wind blowing from the south-southwest,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,16.4,,,,,,
30.10.2020 05:45,14.0,703.1,759.7,,92,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,12.7,,,,,,
29.10.2020 17:45,23.8,702.7,758.9,,64,"Calm, no wind",0,,,no clouds, ,,,,30.3,,,,,,7.0,16.6,No precipitation,9,,,,
29.10.2020 11:45,25.6,704.5,761.2,,58,Wind blowing from the west,1,,,no clouds, ,,,,,,,,,,10.0,16.7,,,,,,
29.10.2020 05:45,14.6,703.3,760.1,,94,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,13.6,,,,,,
28.10.2020 17:45,23.2,702.4,758.8,,62,,,,,, ,,,,29.2,,,"2500 or more, or no clouds.",,,7.0,15.6,No precipitation,9,,,,
28.10.2020 05:45,13.0,702.6,759.4,,90,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.3,,,,,,
27.10.2020 17:45,22.4,702.2,758.4,,58,"Calm, no wind",0,,,no clouds, ,,,,29.5,,,,,,7.0,13.6,No precipitation,9,,,,
27.10.2020 11:45,26.4,703.0,759.7,,56,,,,,, ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,17.0,,,,,,
27.10.2020 05:45,13.6,701.8,758.5,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,12.9,,,,,,
26.10.2020 17:45,23.8,701.5,757.1,,63,Wind blowing from the north-west,1,,,no clouds, ,,,,29.2,,,,,,7.0,16.3,No precipitation,9,,,,
26.10.2020 11:45,25.6,703.3,760.0,,55,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,10.0,15.9,,,,,,
26.10.2020 05:45,13.6,702.1,758.5,,90,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,11.9,,,,,,
25.10.2020 17:45,23.2,701.5,757.0,,51,Wind blowing from the east,1,,,no clouds, ,,,,30.3,,,,,,7.0,12.4,No precipitation,9,,,,
25.10.2020 11:45,27.4,702.5,758.9,,53,Wind blowing from the north-west,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,17.1,,,,,,
25.10.2020 05:45,15.4,700.9,756.7,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,14.8,,,,,,
23.10.2020 11:45,26.4,699.7,755.2,,65,,,,,, ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,19.3,,,,,,
23.10.2020 05:45,17.4,699.7,755.5,,94,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,5.0,16.5,,,,,,
22.10.2020 17:45,24.6,699.1,753.9,,70,"Calm, no wind",0,,,no clouds, ,,,,30.3,,,,,,7.0,18.8,No precipitation,9,,,,
21.10.2020 11:45,28.2,701.4,,,53,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,8.0,17.8,,,,,,
21.10.2020 05:45,17.2,701.2,757.0,,94,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,16.3,,,,,,
20.10.2020 17:45,25.2,699.8,755.0,,70,Wind blowing from the north-northeast,1,,,no clouds, ,,,,30.5,,,,,,8.0,19.3,No precipitation,9,,,,
20.10.2020 05:45,16.4,699.8,755.0,,90,,,,,, ,,,,,,,"2500 or more, or no clouds.",,,5.0,14.8,,,,,,
19.10.2020 17:45,25.0,699.6,754.8,,63,Wind blowing from the north-northeast,1,,,no clouds, ,,,,31.6,,,,,,8.0,17.4,No precipitation,9,,,,
19.10.2020 11:45,29.2,701.5,757.5,,61,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,20.8,,,,,,
19.10.2020 05:45,18.2,700.3,755.5,,91,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,16.7,,,,,,
18.10.2020 17:45,25.2,699.7,754.9,,65,"Calm, no wind",0,,,no clouds, ,,,,31.2,,,,,,7.0,18.2,No precipitation,9,,,,
18.10.2020 11:45,29.4,701.2,756.6,,45,,,,,, ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,16.1,,,,,,
18.10.2020 05:45,18.8,700.1,755.3,,91,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,17.3,,,,,,
17.10.2020 17:45,26.8,699.1,754.0,,62,,,,,, ,,,,32.2,,,"2500 or more, or no clouds.",,,7.0,18.8,No precipitation,9,,,,
17.10.2020 05:45,20.0,700.1,755.5,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,19.4,,,,,,
16.10.2020 17:45,27.2,699.2,754.3,,73,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,31.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.0,No precipitation,9,,,,
16.10.2020 11:45,29.6,701.1,756.5,,62,,,,,, ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.6,,,,,,
16.10.2020 05:45,19.0,699.9,755.3,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,18.1,,,,,,
15.10.2020 17:45,27.2,699.3,754.3,,69,"Calm, no wind",0,,,40%., ,,,,31.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,21.1,No precipitation,9,,,,
15.10.2020 11:45,29.2,701.0,756.2,,58,Wind blowing from the west,1,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,20.2,,,,,,
15.10.2020 05:45,19.6,700.3,755.5,,95,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",5.0,18.7,,,,,,
14.10.2020 17:45,27.2,699.4,754.2,,72,"Calm, no wind",0,,,20–30%., ,,,,32.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,21.7,No precipitation,9,,,,
14.10.2020 11:45,29.8,701.2,756.4,,67,,,,,, ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,8.0,23.0,,,,,,
14.10.2020 05:45,21.8,699.7,755.2,,94,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",5.0,20.7,,,,,,
13.10.2020 17:45,27.2,699.1,754.0,,75,"Calm, no wind",0,,,50%., ,,,,31.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,22.3,No precipitation,9,,,,
13.10.2020 11:45,29.4,700.3,755.6,,66,Wind blowing from the west,1,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.3,,,,,,
13.10.2020 05:45,19.6,698.9,754.3,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,18.7,,,,,,
12.10.2020 17:45,27.2,697.8,752.8,,68,Wind blowing from the south,1,,,no clouds, ,,,,32.0,,,,,,8.0,20.8,No precipitation,9,,,,
12.10.2020 11:45,29.8,699.2,754.6,,60,Wind blowing from the west,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.2,,,,,,
12.10.2020 05:45,18.6,699.1,754.3,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,17.7,,,,,,
11.10.2020 17:45,27.0,698.8,753.6,,68,"Calm, no wind",0,,,no clouds, ,,,,32.3,,,,,,8.0,20.7,No precipitation,9,,,,
11.10.2020 11:45,30.0,700.0,755.5,,59,Wind blowing from the south-southeast,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,21.0,,,,,,
10.10.2020 17:45,26.2,699.3,754.1,,65,"Calm, no wind",0,,,no clouds, ,,,,32.2,,,,,,8.0,19.0,No precipitation,9,,,,
10.10.2020 11:45,30.0,701.3,756.5,,51,Wind blowing from the south,1,,,no clouds, ,,,,,,,,,,8.0,18.7,,,,,,
10.10.2020 05:45,19.4,700.8,756.0,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,5.0,18.5,,,,,,
09.10.2020 17:45,27.4,700.0,754.9,,72,Wind blowing from the south,1,,,40%., ,,,,32.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.9,No precipitation,9,,,,
09.10.2020 11:45,29.4,702.1,758.2,,61,Wind blowing from the east,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.1,,,,,,
09.10.2020 05:45,19.0,701.5,757.0,,95,Wind blowing from the west,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5.0,18.1,,,,,,
27.09.2020 05:45,22.2,697.9,753.0,,96,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",5.0,21.6,,,,,,
27.05.2020 17:45,29.2,695.8,749.8,0.1,40,Wind blowing from the north,1,,,50%., ,,,,34.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,14.4,No precipitation,9,,,,
27.05.2020 14:45,33.2,695.7,749.6,-0.5,46,Wind blowing from the south,4,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,20.1,,,,,,
27.05.2020 11:45,33.0,696.2,750.5,0.2,48,Wind blowing from the east,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,20.5,,,,,,
27.05.2020 08:45,31.0,696.0,750.3,0.3,46,Wind blowing from the east,1,,,60%., ,,,24.2,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,18.0,No precipitation,24,,,,
27.05.2020 05:45,24.8,695.7,750.0,,65,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,8.0,17.7,,,,,,
26.05.2020 17:45,36.2,695.2,749.0,,24,Wind blowing from the west,8,,,no clouds, ,,,,37.8,,,,,,12.0,12.5,No precipitation,9,,,,
26.05.2020 11:45,34.4,696.7,751.0,0.0,43,Wind blowing from the east-southeast,1,,,no clouds, ,,,,,,,,,,12.0,20.2,,,,,,
26.05.2020 08:45,29.4,696.7,751.0,0.6,47,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,24.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,16.8,No precipitation,24,,,,
26.05.2020 05:45,24.2,696.1,750.4,,59,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,8.0,15.6,,,,,,
25.05.2020 17:45,35.8,695.5,749.3,-0.7,24,Wind blowing from the west,4,,,no clouds, ,,,,37.5,,,,,,15.0,12.1,No precipitation,9,,,,
25.05.2020 14:45,37.0,696.2,750.0,-0.8,30,Wind blowing from the west,5,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",15.0,16.5,,,,,,
25.05.2020 11:45,34.2,697.0,751.5,0.3,46,Wind blowing from the south,1,,,no clouds, ,,,,,,,,,,12.0,21.0,,,,,,
25.05.2020 08:45,30.6,696.7,751.2,0.5,56,Wind blowing from the south-east,1,,,no clouds, ,,,24.0,,,,,,,12.0,20.9,No precipitation,24,,,,
25.05.2020 05:45,24.2,696.2,750.7,,56,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,8.0,14.8,,,,,,
24.05.2020 17:45,34.2,695.8,750.0,-1.1,45,Wind blowing from the west,1,,,no clouds, ,,,,35.8,,,,,,12.0,20.6,No precipitation,9,,,,
