Local time in Darbhanga,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.11.2020 17:30,25.2,757.1,761.4,,70,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.0,,,,,,4.0,19.3,,,,,,
09.11.2020 08:30,21.0,760.1,764.5,,91,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,,,,,,,2.0,19.4,,,,,,
08.11.2020 08:30,22.0,760.0,764.4,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,,,,,,,2.0,19.5,,,,,,
07.11.2020 17:30,23.8,756.2,760.6,,79,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,2.0,20.0,,,,,,
07.11.2020 08:30,21.6,759.5,763.9,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.4,,,,,,,2.0,19.1,,,,,,
06.11.2020 17:30,23.6,754.8,759.2,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,2.0,20.2,,,,,,
06.11.2020 08:30,22.2,,,,74,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,,,,,,,2.0,17.4,,,,,,
05.11.2020 17:30,27.6,754.1,758.4,,69,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,29.4,,,,,,2.0,21.3,,,,,,
05.11.2020 08:30,22.2,755.4,759.8,,77,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.2,,,,,,,2.0,18.0,,,,,,
03.11.2020 17:30,27.6,752.2,756.5,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.0,,,,,,4.0,24.1,,,,,,
03.11.2020 08:30,24.6,755.2,759.5,,87,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,,,,4.0,22.2,,,,,,
02.11.2020 17:30,29.6,751.2,755.5,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.6,,,,,,4.0,26.5,,,,,,
31.10.2020 08:30,25.6,755.1,759.4,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.6,,,,,,,4.0,22.6,,,,,,
30.10.2020 17:30,30.2,751.3,755.5,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.4,,,,,,4.0,26.6,,,,,,
30.10.2020 08:30,23.0,754.4,758.8,,93,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,,,,,,,4.0,21.8,,,,,,
29.10.2020 17:30,27.0,751.2,755.5,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,28.8,,,,,,4.0,23.5,,,,,,
29.10.2020 08:30,24.4,754.5,758.8,,90,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.0,,,,,,,4.0,22.6,,,,,,
28.10.2020 17:30,27.4,751.1,755.4,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.2,,,,,,4.0,24.2,,,,,,
28.10.2020 08:30,25.4,753.7,758.0,,85,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.6,,,,,,,4.0,22.7,,,,,,
27.10.2020 17:30,27.6,750.6,754.9,,73,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.0,,,,,,4.0,22.3,,,,,,
27.10.2020 08:30,25.2,753.7,758.0,,90,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,23.4,,,,,,
26.10.2020 17:30,30.2,749.8,754.0,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.4,,,,,,4.0,26.6,,,,,,
26.10.2020 08:30,25.6,,758.0,,89,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,,,,,,,4.0,23.6,,,,,,
25.10.2020 17:30,30.4,,754.9,,80,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.0,,,,,,4.0,26.5,,,,,,
25.10.2020 08:30,25.4,,758.0,,91,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,23.9,,,,,,
24.10.2020 17:30,30.2,,754.0,,81,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.8,,,,,,4.0,26.6,,,,,,
24.10.2020 08:30,27.4,,755.4,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,,,,,,,4.0,24.8,,,,,,
23.10.2020 17:30,29.4,,753.2,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,4.0,26.3,,,,,,
23.10.2020 08:30,28.2,,757.0,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.6,,,,,,,4.0,25.1,,,,,,
22.10.2020 17:30,29.6,,753.7,,88,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.6,,,,,,4.0,27.4,,,,,,
21.10.2020 08:30,28.2,,757.0,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.4,,,,,,,4.0,25.7,,,,,,
20.10.2020 17:30,30.4,,752.9,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.2,,,,,,4.0,27.4,,,,,,
18.10.2020 08:30,30.0,,756.1,,85,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.6,,,,,,,4.0,27.2,,,,,,
17.10.2020 17:30,31.6,,752.8,,76,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.0,,,,,,4.0,26.9,,,,,,
17.10.2020 08:30,29.6,,755.3,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.0,,,,,,,4.0,26.5,,,,,,
15.10.2020 08:30,28.4,,756.1,,91,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.2,,,,,,,20.0,26.7,,,,,,
14.10.2020 17:30,31.6,,752.0,,78,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.2,,,,,,4.0,27.2,,,,,,
14.10.2020 08:30,29.2,,755.3,,88,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.2,,,,,,,4.0,27.0,,,,,,
13.10.2020 17:30,30.4,,752.1,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.8,,,,,,4.0,27.1,,,,,,
13.10.2020 08:30,28.2,,754.9,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.6,,,,,,,4.0,25.7,,,,,,
12.10.2020 17:30,30.2,,751.4,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.4,,,,,,4.0,27.2,,,,,,
12.10.2020 08:30,28.0,,755.3,,87,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.8,,,,,,,4.0,25.7,,,,,,
11.10.2020 08:30,29.6,,756.8,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.4,,,,,,,4.0,26.5,,,,,,
10.10.2020 17:30,32.0,,753.7,,76,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.4,,,,,,4.0,27.3,,,,,,
10.10.2020 08:30,29.4,,756.0,,82,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.0,,,,,,,4.0,26.0,,,,,,
09.10.2020 08:30,30.2,,754.9,,85,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.4,,,,,,,4.0,27.4,,,,,,
08.10.2020 08:30,29.0,,756.1,,92,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.6,,,,,,,4.0,27.6,,,,,,
07.10.2020 08:30,29.6,,756.1,,90,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.6,,,,,,,4.0,27.7,,,,,,
06.10.2020 08:30,29.2,,754.9,,91,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.6,,,,,,,4.0,27.5,Trace of precipitation,24,,,,
05.10.2020 17:30,29.6,,751.3,,83,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,31.6,,,,,,4.0,26.5,,,,,,
05.10.2020 08:30,28.4,,754.9,,94,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.2,,,,,,,4.0,27.3,2,24,,,,
04.10.2020 17:30,29.0,,751.3,,86,Wind blowing from the south,1,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,4.0,26.5,,,,,,
04.10.2020 08:30,29.2,,754.9,,88,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.4,,,,,,,4.0,27.0,,,,,,
03.10.2020 17:30,28.6,,751.3,,83,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,31.6,,,,,,4.0,25.5,,,,,,
02.10.2020 17:30,33.0,,750.7,,75,Wind blowing from the west,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.2,,,,,,4.0,28.1,,,,,,
30.09.2020 08:30,26.6,,753.7,,92,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",2.0,25.2,,,,,,
26.09.2020 17:30,26.8,,750.5,,87,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,27.2,,,"2500 or more, or no clouds.",,,4.0,24.5,,,,,,
26.09.2020 08:30,25.2,,752.6,,98,"Calm, no wind",0,,,100%.,Haze. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,23.6,,,,"2500 or more, or no clouds.",,,2.0,24.9,7,12,,,,
25.09.2020 17:30,28.4,,750.4,,86,"Calm, no wind",0,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,28.4,,,"2500 or more, or no clouds.",,,4.0,25.9,,,,,,
25.09.2020 08:30,25.2,,752.5,,100,"Calm, no wind",0,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,24.4,,,,600-1000,,,2.0,25.2,92,24,,,,
24.09.2020 17:30,28.2,,750.2,,94,Wind blowing from the south,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,29.4,,,"2500 or more, or no clouds.",,,4.0,27.1,,,,,,
24.09.2020 08:30,26.2,,752.5,,95,Wind blowing from the south,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,24.6,,,,"2500 or more, or no clouds.",,,4.0,25.3,32,24,,,,
22.09.2020 08:30,28.4,,752.3,,94,Wind blowing from the south,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,26.6,,,,"2500 or more, or no clouds.",,,4.0,27.3,Trace of precipitation,24,,,,
19.09.2020 08:30,28.4,,752.5,,91,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,26.2,,,,"2500 or more, or no clouds.",,,4.0,26.7,,,,,,
18.09.2020 17:30,29.4,,750.1,,85,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,31.2,,,"2500 or more, or no clouds.",,,4.0,26.6,,,,,,
17.09.2020 08:30,28.2,,754.0,,95,"Calm, no wind",0,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,25.6,,,,600-1000,,,2.0,27.4,Trace of precipitation,24,,,,
16.09.2020 17:30,32.4,,750.4,,80,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.2,,,,,,4.0,28.6,,,,,,
16.09.2020 08:30,27.8,,753.1,,94,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,,,,,,,4.0,26.7,26,12,,,,
15.09.2020 17:30,30.6,,750.9,,90,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,32.0,,,"2500 or more, or no clouds.",,,4.0,28.7,,,,,,
15.09.2020 08:30,28.4,,755.2,,94,Wind blowing from the north,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,27.0,,,,"2500 or more, or no clouds.",,,4.0,27.3,Trace of precipitation,24,,,,
14.09.2020 17:30,33.0,,751.3,,78,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.4,,,,,,4.0,28.7,,,,,,
13.09.2020 08:30,30.2,,755.2,,91,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,27.4,,,,,,,4.0,28.6,,,,,,
12.09.2020 17:30,31.2,,752.0,,84,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.6,,,,,,4.0,28.2,,,,,,
12.09.2020 08:30,29.4,,754.8,,91,Wind blowing from the south,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,26.2,,,,"2500 or more, or no clouds.",,,4.0,27.8,Trace of precipitation,24,,,,
10.09.2020 08:30,29.2,,754.8,,94,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.2,,,,,,,4.0,28.1,Trace of precipitation,24,,,,
09.09.2020 17:30,31.0,,750.8,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.4,,,,,,4.0,27.7,,,,,,
07.09.2020 08:30,27.4,,754.8,,95,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,,,,,,,4.0,26.6,,,,,,
06.09.2020 17:30,30.0,,751.3,,86,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,,,"2500 or more, or no clouds.",,,4.0,27.4,,,,,,
06.09.2020 08:30,29.4,,755.2,,91,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,25.2,,,,"2500 or more, or no clouds.",,,4.0,27.8,23,12,,,,
05.09.2020 17:30,32.2,,751.9,,78,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,4.0,27.8,,,,,,
05.09.2020 08:30,31.4,,754.5,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,27.6,,,,,,,4.0,28.4,,,,,,
04.09.2020 08:30,30.2,,755.3,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,27.2,,,,,,,4.0,27.2,,,,,,
03.09.2020 17:30,31.4,,751.2,,76,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.4,,,,,,4.0,26.7,,,,,,
03.09.2020 08:30,29.6,,754.0,,90,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.6,,,,,,,4.0,27.7,,,,,,
02.09.2020 17:30,31.6,,750.7,,76,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.0,,,,,,4.0,26.9,,,,,,
02.09.2020 08:30,28.4,,751.1,,91,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,24.2,,,,"2500 or more, or no clouds.",,,4.0,26.7,62,24,,,,
01.09.2020 17:30,32.0,,747.4,,75,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.0,,,,,,4.0,27.0,,,,,,
01.09.2020 08:30,30.0,,750.1,,86,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,26.4,,,,"2500 or more, or no clouds.",,,4.0,27.5,,,,,,
31.08.2020 17:30,33.2,,747.4,,75,,,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.2,,,"2500 or more, or no clouds.",,,4.0,28.3,,,,,,
30.08.2020 08:30,29.4,,750.1,,86,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.6,,,,,,,4.0,26.9,,,,,,
29.08.2020 17:30,32.2,,746.9,,82,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.6,,,,,,4.0,28.7,,,,,,
29.08.2020 08:30,29.6,,750.2,,91,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,,,,,,,4.0,28.0,6,24,,,,
26.08.2020 08:30,33.0,,746.8,,75,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,4.0,28.1,,,,,,
14.08.2020 08:30,28.2,,751.1,,91,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,25.6,,,,"2500 or more, or no clouds.",,,4.0,26.5,Trace of precipitation,24,,,,
13.08.2020 17:30,30.0,,747.6,,88,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,32.6,,,"2500 or more, or no clouds.",,,4.0,27.8,,,,,,
12.08.2020 08:30,27.2,,750.3,,98,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,25.6,,,,"2500 or more, or no clouds.",,,4.0,26.9,,,,,,
11.08.2020 17:30,31.0,,747.4,,83,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.0,,,,,,4.0,27.7,,,,,,
11.08.2020 08:30,29.8,,750.9,,94,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,29.8,,,,"2500 or more, or no clouds.",,,4.0,28.7,,,,,,
10.08.2020 17:30,31.4,,748.3,,84,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,32.6,,,"2500 or more, or no clouds.",,,4.0,28.4,,,,,,
10.08.2020 08:30,29.4,,750.9,,92,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,27.2,,,,"2500 or more, or no clouds.",,,4.0,28.0,Trace of precipitation,24,,,,
09.08.2020 17:30,31.6,,747.4,,79,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,34.4,,,"2500 or more, or no clouds.",,,4.0,27.5,,,,,,
