Local time in Dhankuta,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
23.12.2019 08:45,13.4,663.4,,71,Wind blowing from the south,1,20–30%.,6.5,,20–30%.,300-600,6,8.1,No precipitation,24
22.12.2019 17:45,10.8,660.7,-0.5,77,Wind blowing from the west,1,"10%  or less, but not 0",,18.5,"10%  or less, but not 0",600-1000,4,6.8,No precipitation,9
22.12.2019 14:45,16.2,661.2,-1.7,65,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,4,9.5,,
22.12.2019 11:45,18.4,662.9,-0.2,54,Wind blowing from the south-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,5,9,,
22.12.2019 08:45,13.6,663.1,1.4,68,Wind blowing from the south-southwest,1,"10%  or less, but not 0",6.6,,"10%  or less, but not 0",1500-2000,6,7.8,No precipitation,24
22.12.2019 05:45,7.3,661.7,,80,Wind blowing from the north-west,1,no clouds,,,,,6,4.1,,
21.12.2019 17:45,11.2,660.4,-0.3,69,Wind blowing from the west-southwest,1,60%.,,19.7,"10%  or less, but not 0",600-1000,6,5.6,No precipitation,9
21.12.2019 14:45,16.3,660.7,-1.4,61,Wind blowing from the west,2,20–30%.,,,"10%  or less, but not 0",600-1000,6,8.7,,
21.12.2019 11:45,18.4,662.1,-0.3,49,Wind blowing from the south-southeast,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,7.3,,
21.12.2019 08:45,14.2,662.4,0.8,64,Wind blowing from the south,1,"10%  or less, but not 0",7.5,,,"2500 or more, or no clouds.",6,7.5,No precipitation,24
21.12.2019 05:45,8,661.6,,79,"Calm, no wind",0,50%.,,,,"2500 or more, or no clouds.",6,4.5,,
20.12.2019 17:45,15,,,90,"Calm, no wind",0,60%.,,18.9,60%.,"2500 or more, or no clouds.",10,13.4,No precipitation,9
20.12.2019 14:45,17.8,660.3,-1.7,56,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,8.8,,
20.12.2019 11:45,20,662,-0.1,52,Wind blowing from the south-southwest,1,20–30%.,,,"10%  or less, but not 0",600-1000,6,9.8,,
20.12.2019 08:45,14.6,662.1,,67,"Calm, no wind",0,no clouds,7.6,,,,6,8.4,No precipitation,24
19.12.2019 17:45,12,660.8,-0.5,76,Wind blowing from the west,1,"10%  or less, but not 0",,19.9,"10%  or less, but not 0",600-1000,5,7.9,No precipitation,9
19.12.2019 14:45,17.8,661.3,-2.4,63,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,5,10.6,,
19.12.2019 11:45,19.4,663.7,-0.3,60,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,11.3,,
19.12.2019 08:45,14.2,664,1.3,71,Wind blowing from the south,1,no clouds,7.2,,,,6,9,No precipitation,24
19.12.2019 05:45,7.5,662.7,,94,"Calm, no wind",0,no clouds,,,,,4,6.6,,
18.12.2019 17:45,10,662.7,-0.1,100,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,18,,,0.3,10,No precipitation,9
18.12.2019 14:45,16.8,662.8,-1.4,73,Wind blowing from the west,1,20–30%.,,,20–30%.,300-600,3,12,,
18.12.2019 11:45,17.4,664.2,-0.1,66,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,4,11,,
18.12.2019 08:45,13.4,664.3,1.9,78,Wind blowing from the south,1,no clouds,7.5,,,,6,9.7,No precipitation,24
18.12.2019 05:45,7.7,662.4,,97,Wind blowing from the west-southwest,1,no clouds,,,,,6,7.3,,
17.12.2019 17:45,11,654.9,-7.9,90,Wind blowing from the south-west,1,20–30%.,,19.4,20–30%.,300-600,5,9.4,No precipitation,9
17.12.2019 14:45,17,662.8,-1.1,67,Wind blowing from the south-southwest,1,40%.,,,40%.,600-1000,5,10.8,,
17.12.2019 11:45,19.2,663.9,-0.2,58,Wind blowing from the south,1,20–30%.,,,20–30%.,600-1000,6,10.7,,
17.12.2019 08:45,13.5,664.1,,74,Wind blowing from the east,1,"10%  or less, but not 0",7.5,,"10%  or less, but not 0",1000-1500,6,9,No precipitation,24
16.12.2019 17:45,12.4,661.5,-1.1,89,Wind blowing from the west,1,40%.,,20,40%.,300-600,6,10.7,No precipitation,9
16.12.2019 14:45,18.4,662.6,-1.1,57,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,600-1000,6,9.8,,
16.12.2019 11:45,19.6,663.7,,54,Wind blowing from the south,1,20–30%.,,,20–30%.,600-1000,6,10.1,,
15.12.2019 17:45,12,662.6,-0.8,83,Wind blowing from the west-northwest,1,50%.,,20,20–30%.,300-600,6,9.2,No precipitation,9
15.12.2019 14:45,17.8,663.4,-1.5,63,Wind blowing from the west,2,70 – 80%.,,,20–30%.,300-600,6,10.6,,
15.12.2019 11:45,19.4,664.9,-0.1,55,Wind blowing from the west,1,60%.,,,20–30%.,300-600,6,10.1,,
15.12.2019 08:45,12.3,665,,80,Wind blowing from the south,1,"90  or more, but not 100%",7.7,,"10%  or less, but not 0",600-1000,6,9,0.6,24
14.12.2019 17:45,11.6,663.3,-0.7,89,Wind blowing from the west-northwest,1,20–30%.,,18,20–30%.,600-1000,6,9.9,0.5,9
14.12.2019 14:45,17.8,664,-2.1,65,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,11,,
14.12.2019 11:45,13,666.1,,92,Wind blowing from the south,1,50%.,,,50%.,Less than  50,2,11.7,,
14.12.2019 08:45,9,666.7,1.7,100,Wind blowing from the south,1,Sky obscured by fog and/or other meteorological phenomena.,9,,,,0.3,9,10,24
14.12.2019 05:45,9,665,,97,Wind blowing from the north,1,100%.,,,,,0.9,8.6,,
13.12.2019 17:45,11.6,664.7,0.4,89,"Calm, no wind",0,100%.,,19.2,100%.,300-600,0.6,9.8,0.1,9
13.12.2019 14:45,14.8,664.3,-0.7,83,Wind blowing from the west,1,"90  or more, but not 100%",,,"90  or more, but not 100%",600-1000,5,11.9,,
13.12.2019 11:45,18,665,0.6,60,Wind blowing from the east,1,60%.,,,60%.,600-1000,5,10,,
13.12.2019 08:45,14.2,664.4,1.1,83,Wind blowing from the east-southeast,1,70 – 80%.,10.5,,70 – 80%.,1500-2000,5,11.4,No precipitation,24
13.12.2019 05:45,10.7,663.3,,87,"Calm, no wind",0,no clouds,,,,,5,8.6,,
12.12.2019 17:45,12,662.4,-0.4,92,"Calm, no wind",0,"90  or more, but not 100%",,18,"90  or more, but not 100%",600-1000,0.8,10.7,No precipitation,9
12.12.2019 14:45,15.8,662.8,-1.5,76,Wind blowing from the west,1,70 – 80%.,,,70 – 80%.,100-200,2,11.6,,
12.12.2019 11:45,17.6,664.3,0.1,66,Wind blowing from the south,1,70 – 80%.,,,70 – 80%.,200-300,2,11.1,,
12.12.2019 08:45,14.2,664.2,2,81,Wind blowing from the east,1,40%.,9.3,,,"2500 or more, or no clouds.",2,10.9,No precipitation,24
12.12.2019 05:45,9.5,662.2,,90,Wind blowing from the west-northwest,1,no clouds,,,,,5,7.9,,
11.12.2019 17:45,11.6,660.2,-0.2,89,Wind blowing from the west,1,40%.,,20,40%.,300-600,1.4,9.8,No precipitation,9
11.12.2019 14:45,17.8,660.4,-2.4,66,Wind blowing from the west,1,60%.,,,60%.,200-300,1,11.3,,
11.12.2019 11:45,19.6,662.8,-0.1,57,Wind blowing from the south,1,20–30%.,,,20–30%.,200-300,3,10.8,,
11.12.2019 08:45,15.8,662.9,,67,Wind blowing from the south,1,60%.,8.5,,"10%  or less, but not 0",200-300,5,9.7,No precipitation,24
10.12.2019 17:45,12.8,660.4,,78,Wind blowing from the west,1,"10%  or less, but not 0",,20.5,"10%  or less, but not 0",600-1000,4,9,No precipitation,9
24.11.2019 11:45,21.8,663.1,-0.2,66,Wind blowing from the south-southwest,1,60%.,,,60%.,100-200,1,15.2,,
24.11.2019 08:45,18,663.3,1.4,80,Wind blowing from the south,1,20–30%.,12.8,,20–30%.,100-200,1,14.5,No precipitation,24
24.11.2019 05:45,13,661.9,,96,"Calm, no wind",0,no clouds,,,,,1,12.3,,
23.11.2019 08:45,18.6,664.2,,74,Wind blowing from the south,1,60%.,12.1,,,"2500 or more, or no clouds.",3,13.8,No precipitation,24
22.11.2019 11:45,22.4,663.8,-1,63,Wind blowing from the south,1,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,2,14.9,,
22.11.2019 08:45,17.8,664.8,1.5,76,Wind blowing from the east-southeast,1,no clouds,12,,,,3,13.4,No precipitation,24
22.11.2019 05:45,12.3,663.3,,85,Wind blowing from the north-west,1,no clouds,,,,,5,9.9,,
21.11.2019 14:45,20.8,662.3,-1.4,73,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,1,15.7,,
21.11.2019 11:45,22.4,663.7,-0.8,63,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",50-100,1,14.9,,
21.11.2019 08:45,16.4,664.5,,85,Wind blowing from the south,1,no clouds,11.6,,,,1,13.9,No precipitation,24
20.11.2019 11:45,22.8,663.7,,64,Wind blowing from the south-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",Less than  50,1,15.6,,
19.11.2019 14:45,20.4,661.6,-0.8,79,Wind blowing from the south-west,1,20–30%.,,,20–30%.,Less than  50,1,16.6,,
19.11.2019 11:45,23,662.4,-0.5,66,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,Less than  50,1,16.2,,
19.11.2019 08:45,18,662.9,,75,Wind blowing from the east,1,no clouds,13.6,,,,0.9,13.4,No precipitation,24
17.11.2019 14:45,20,661.3,-1.4,80,Wind blowing from the north,1,70 – 80%.,,,70 – 80%.,Less than  50,1,16.4,,
17.11.2019 11:45,23.6,662.7,-0.1,69,Wind blowing from the west-southwest,1,40%.,,,40%.,50-100,1,17.5,,
17.11.2019 08:45,21,662.8,1.5,79,Wind blowing from the south-southeast,1,20–30%.,14.8,,20–30%.,50-100,1,17.2,No precipitation,24
17.11.2019 05:45,15.4,661.3,,96,"Calm, no wind",0,70 – 80%.,,,70 – 80%.,200-300,3,14.8,,
16.11.2019 17:45,18,661.7,0,93,Wind blowing from the south-southeast,1,"90  or more, but not 100%",,25.5,"90  or more, but not 100%",Less than  50,2,16.8,No precipitation,9
16.11.2019 14:45,22.4,661.7,-1.4,72,Wind blowing from the south,1,70 – 80%.,,,70 – 80%.,100-200,4,17.1,,
16.11.2019 11:45,25,663.1,-0.8,64,Wind blowing from the west,1,20–30%.,,,20–30%.,300-600,6,17.6,,
16.11.2019 08:45,20.8,663.9,,77,Wind blowing from the south,1,20–30%.,14.4,,20–30%.,600-1000,6,16.7,No precipitation,24
15.11.2019 17:45,18,662,-0.6,88,Wind blowing from the north-northwest,1,"10%  or less, but not 0",,26,"10%  or less, but not 0",600-1000,6,15.9,No precipitation,9
15.11.2019 14:45,24,662.6,-1,65,Wind blowing from the south-west,1,20–30%.,,,20–30%.,600-1000,6,17,,
15.11.2019 11:45,25.8,663.6,-0.7,61,Wind blowing from the south-west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,17.8,,
15.11.2019 08:45,21.7,664.3,1.1,71,Wind blowing from the south,1,no clouds,14.8,,,,6,16.2,No precipitation,24
15.11.2019 05:45,14.8,663.2,,96,"Calm, no wind",0,no clouds,,,,,6,14.2,,
14.11.2019 17:45,18.6,663.6,0.1,91,Wind blowing from the west-northwest,1,50%.,,25.7,50%.,Less than  50,1,17.1,No precipitation,9
14.11.2019 14:45,24.2,663.5,-0.8,71,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,3,18.5,,
14.11.2019 11:45,25.6,664.3,-1.1,59,Wind blowing from the south,1,50%.,,,"10%  or less, but not 0",200-300,3,17.1,,
14.11.2019 08:45,20.8,665.4,1,76,Wind blowing from the south-southeast,1,"10%  or less, but not 0",14.3,,,"2500 or more, or no clouds.",6,16.3,No precipitation,24
14.11.2019 05:45,14.3,664.4,,96,Wind blowing from the west,1,no clouds,,,,,6,13.7,,
13.11.2019 17:45,17.8,663.3,-0.1,91,"Calm, no wind",0,"10%  or less, but not 0",,25.8,"10%  or less, but not 0",Less than  50,1,16.3,No precipitation,9
13.11.2019 14:45,23.6,663.4,-0.9,71,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,200-300,2,18.1,,
13.11.2019 11:45,25.4,664.3,-0.1,63,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,200-300,3,17.9,,
13.11.2019 08:45,20.2,664.4,1.1,78,Wind blowing from the south,1,20–30%.,14.8,,,"2500 or more, or no clouds.",4,16.3,No precipitation,24
13.11.2019 05:45,14.8,663.3,,96,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.6,14.2,,
12.11.2019 17:45,17,661.6,,91,Wind blowing from the south-west,1,60%.,,24.5,60%.,Less than  50,1,15.5,No precipitation,9
12.11.2019 11:45,23.8,662.7,-0.1,69,Wind blowing from the south-southwest,1,50%.,,,50%.,200-300,2,17.7,,
12.11.2019 08:45,21.2,662.8,1.7,76,Wind blowing from the south,1,20–30%.,14.6,,20–30%.,Less than  50,5,16.8,No precipitation,24
12.11.2019 05:45,14.9,661.1,,96,"Calm, no wind",0,60%.,,,60%.,50-100,2,14.3,,
11.11.2019 17:45,17.4,659.8,-0.2,94,Wind blowing from the south,1,Sky obscured by fog and/or other meteorological phenomena.,,23.7,,,0.8,16.5,No precipitation,9
11.11.2019 14:45,21.2,660,-1.3,76,Wind blowing from the west-southwest,1,60%.,,,60%.,200-300,3,16.8,,
11.11.2019 11:45,22.4,661.3,0,75,Wind blowing from the south-west,1,60%.,,,60%.,300-600,3,17.8,,
11.11.2019 08:45,19.2,661.3,0.9,86,Wind blowing from the south,1,"90  or more, but not 100%",15.6,,50%.,Less than  50,0.9,16.8,No precipitation,24
11.11.2019 05:45,15.6,660.4,,97,"Calm, no wind",0,100%.,,,100%.,200-300,3,15.1,,
10.11.2019 14:45,22.4,660.7,-1.3,68,Wind blowing from the west-southwest,2,40%.,,,40%.,600-1000,6,16.2,,
10.11.2019 11:45,25,662,,60,Wind blowing from the south-southeast,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,16.8,,
10.11.2019 05:45,13.7,661.8,,,"Calm, no wind",0,no clouds,,,,,6,,,
09.11.2019 17:45,17.6,661.2,-0.5,88,"Calm, no wind",0,60%.,,25,60%.,300-600,6,15.6,No precipitation,9
09.11.2019 14:45,24.4,661.7,-1.2,64,Wind blowing from the west,1,60%.,,,20–30%.,600-1000,6,17.1,,
09.11.2019 11:45,22.8,662.9,-0.8,66,Wind blowing from the south-west,1,70 – 80%.,,,40%.,600-1000,6,16,,
09.11.2019 08:45,18.2,663.7,1.9,79,Wind blowing from the west,1,"90  or more, but not 100%",14.2,,20–30%.,100-200,6,14.5,No precipitation,24
09.11.2019 05:45,14.2,661.8,,92,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,6,12.9,,
08.11.2019 17:45,23.2,,,74,Wind blowing from the east,1,60%.,,27.7,40%.,600-1000,7,18.2,No precipitation,9
08.11.2019 14:45,24,661.8,-1.2,65,Wind blowing from the west,1,60%.,,,20–30%.,600-1000,6,17,,
08.11.2019 11:45,25.8,663,-0.6,64,Wind blowing from the south,1,20–30%.,,,"10%  or less, but not 0",600-1000,6,18.4,,
08.11.2019 08:45,19.2,663.6,1.7,84,Wind blowing from the south,1,70 – 80%.,14.5,,20–30%.,200-300,6,16.5,No precipitation,24
08.11.2019 05:45,14.5,661.9,,93,"Calm, no wind",0,50%.,,,50%.,300-600,6,13.4,,
07.11.2019 17:45,18.3,659.8,-0.6,85,Wind blowing from the west,1,"10%  or less, but not 0",,26,"10%  or less, but not 0",600-1000,2,15.8,No precipitation,9
07.11.2019 14:45,24.2,660.4,-1.2,68,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,2,17.9,,
07.11.2019 11:45,25.6,661.6,-0.4,58,Wind blowing from the south-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,2,16.6,,
07.11.2019 08:45,19.8,662,1.6,79,Wind blowing from the south,1,no clouds,14.4,,,,3,16,No precipitation,24
07.11.2019 05:45,14.4,660.4,,97,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",Less than  50,0.9,13.9,,
06.11.2019 17:45,17.7,658.9,-0.2,92,Wind blowing from the west,1,60%.,,24.6,20–30%.,200-300,1,16.3,No precipitation,9
06.11.2019 14:45,22.6,659.1,-1.6,73,Wind blowing from the south,1,20–30%.,,,20–30%.,200-300,1,17.4,,
06.11.2019 11:45,24.4,660.7,-0.5,61,Wind blowing from the south,1,20–30%.,,,20–30%.,200-300,3,16.5,,
06.11.2019 08:45,19.2,661.2,1.3,76,Wind blowing from the south,1,"10%  or less, but not 0",13.5,,"10%  or less, but not 0",200-300,4,14.9,0.7,24
06.11.2019 05:45,13.6,659.9,,93,Wind blowing from the west-northwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,12.5,,
05.11.2019 17:45,17.6,659.1,-0.7,77,Wind blowing from the west,1,40%.,,25.4,40%.,600-1000,6,13.5,No precipitation,9
05.11.2019 14:45,23.6,659.8,-1.7,58,Wind blowing from the west,1,50%.,,,50%.,600-1000,6,14.9,,
05.11.2019 11:45,25.4,661.5,,55,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,600-1000,5,15.6,,
05.11.2019 08:45,20.4,,,68,Wind blowing from the east,1,"10%  or less, but not 0",13,,"10%  or less, but not 0",1000-1500,6,14.3,No precipitation,24
05.11.2019 05:45,14.6,662.8,,87,"Calm, no wind",0,no clouds,,,,,6,12.5,,
04.11.2019 17:45,18.2,661,-0.3,70,"Calm, no wind",0,"10%  or less, but not 0",,26.3,"10%  or less, but not 0",1000-1500,6,12.6,No precipitation,9
04.11.2019 14:45,24,661.3,,56,Wind blowing from the west,1,20–30%.,,,20–30%.,1000-1500,6,14.7,,
01.11.2019 14:45,23.6,661.3,,67,Wind blowing from the west-southwest,1,50%.,,,50%.,300-600,3,17.2,,
01.11.2019 11:45,0,,,,"Calm, no wind",0,no clouds,,,,,,,,
01.11.2019 08:45,21,663.1,1.1,74,Wind blowing from the south,1,no clouds,13.9,,,,6,16.1,No precipitation,24
01.11.2019 05:45,14.2,662,,87,"Calm, no wind",0,no clouds,,,,,6,12.1,,
31.10.2019 17:45,18.1,660.6,,88,Wind blowing from the south-west,1,50%.,,25.7,40%.,300-600,6,16,No precipitation,9
31.10.2019 11:45,24.8,662.2,,64,Wind blowing from the south,1,40%.,,,40%.,300-600,6,17.6,,
31.10.2019 08:45,17.6,,,94,Wind blowing from the west,1,Sky obscured by fog and/or other meteorological phenomena.,16.2,,,,3,16.6,No precipitation,24
31.10.2019 05:45,15.2,661.8,,94,"Calm, no wind",0,20–30%.,,,"10%  or less, but not 0",1000-1500,6,14.3,,
30.10.2019 14:45,22.8,661.4,-1.4,69,Wind blowing from the south-southeast,1,"90  or more, but not 100%",,,"10%  or less, but not 0",600-1000,6,16.9,,
30.10.2019 11:45,24.2,662.8,-0.4,61,Wind blowing from the south,1,60%.,,,"10%  or less, but not 0",600-1000,6,16.2,,
30.10.2019 08:45,21.2,663.2,1.3,78,"Calm, no wind",0,60%.,14,,"10%  or less, but not 0",600-1000,6,17.1,No precipitation,24
30.10.2019 05:45,14.2,661.9,,94,"Calm, no wind",0,20–30%.,,,,"2500 or more, or no clouds.",6,13.2,,
29.10.2019 17:45,17.7,662.2,-0.6,85,Wind blowing from the west-southwest,1,20–30%.,,25.5,"10%  or less, but not 0",Less than  50,3,15.1,No precipitation,9
29.10.2019 14:45,23.9,662.8,-1.1,68,Wind blowing from the south,5,60%.,,,20–30%.,300-600,6,17.7,,
29.10.2019 11:45,25.4,663.9,-0.1,63,Wind blowing from the south,1,70 – 80%.,,,20–30%.,300-600,5,17.8,,
29.10.2019 08:45,21.4,664,1.3,76,Wind blowing from the south,1,20–30%.,14.3,,"10%  or less, but not 0",300-600,5,17,No precipitation,24
29.10.2019 05:45,14.7,662.7,,95,"Calm, no wind",0,20–30%.,,,"10%  or less, but not 0",600-1000,3,13.9,,
28.10.2019 17:45,17.7,662.1,,85,Wind blowing from the west,1,50%.,,25.4,40%.,200-300,3,15.2,No precipitation,9
28.10.2019 08:45,19.6,664,1.4,85,Wind blowing from the south,1,"90  or more, but not 100%",14.6,,40%.,Less than  50,3,16.9,No precipitation,24
28.10.2019 05:45,14.7,662.6,,96,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",50-100,3,14.1,,
27.10.2019 17:45,16.6,661,0,91,"Calm, no wind",0,40%.,,23.5,40%.,Less than  50,2,15.1,No precipitation,9
27.10.2019 14:45,20.3,661,-0.9,77,Wind blowing from the south-southwest,1,70 – 80%.,,,40%.,100-200,3,16.1,,
27.10.2019 11:45,22.6,661.9,-2.8,75,Wind blowing from the west,1,60%.,,,60%.,300-600,5,18,,
27.10.2019 08:45,20,664.7,3.7,79,"Calm, no wind",0,50%.,14.5,,20–30%.,Less than  50,2,16.2,No precipitation,24
27.10.2019 05:45,14.8,661,,98,"Calm, no wind",0,50%.,,,20–30%.,Less than  50,2,14.5,,
26.10.2019 17:45,16.9,660.2,-0.7,93,"Calm, no wind",0,"90  or more, but not 100%",,25.5,"90  or more, but not 100%",100-200,3,15.7,No precipitation,9
26.10.2019 14:45,19.6,660.9,-1.1,88,Wind blowing from the south-west,1,100%.,,,100%.,Less than  50,0.9,17.6,,
26.10.2019 11:45,23.5,662,,67,Wind blowing from the south-southwest,1,"90  or more, but not 100%",,,20–30%.,Less than  50,3,16.9,,
26.10.2019 05:45,14.6,661.3,,98,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.6,14.3,,
25.10.2019 17:45,17.4,660.1,-0.4,91,"Calm, no wind",0,"90  or more, but not 100%",,20.9,"90  or more, but not 100%",Less than  50,1,15.9,Trace of precipitation,9
25.10.2019 14:45,19.2,660.5,-1.3,87,Wind blowing from the east,2,"90  or more, but not 100%",,,40%.,Less than  50,1,17,,
25.10.2019 11:45,20.4,661.8,,80,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",Less than  50,1,16.9,,
25.10.2019 05:45,14.8,661.2,,97,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.3,14.3,,
25.10.2019 02:45,17.4,660.1,,91,"Calm, no wind",0,"90  or more, but not 100%",,20.9,"90  or more, but not 100%",Less than  50,1,15.9,Trace of precipitation,9
24.10.2019 14:45,19.6,661.6,-0.6,85,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",Less than  50,1,16.9,,
24.10.2019 11:45,21.6,662.2,-0.3,82,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,50%.,Less than  50,1,18.4,,
24.10.2019 08:45,19,662.5,2,88,Wind blowing from the north,1,"90  or more, but not 100%",16.4,,20–30%.,Less than  50,0.8,16.9,No precipitation,24
24.10.2019 05:45,16.4,660.5,,96,"Calm, no wind",0,"90  or more, but not 100%",,,60%.,Less than  50,1,15.8,,
23.10.2019 17:45,18.8,659.3,-1,91,"Calm, no wind",0,"90  or more, but not 100%",,23.5,60%.,100-200,2,17.3,No precipitation,9
23.10.2019 14:45,22.6,660.3,-0.9,78,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,60%.,50-100,2,18.6,,
23.10.2019 11:45,22,661.2,-0.4,73,Wind blowing from the south,1,"90  or more, but not 100%",,,40%.,200-300,3,17,,
23.10.2019 08:45,17.4,661.6,2.1,91,Wind blowing from the south,1,"90  or more, but not 100%",15.2,,40%.,300-600,3,15.9,No precipitation,24
23.10.2019 05:45,15.2,659.5,,98,"Calm, no wind",0,"90  or more, but not 100%",,,60%.,Less than  50,1,14.9,,
22.10.2019 17:45,18,659.2,-0.3,96,Wind blowing from the west,1,20–30%.,,26,20–30%.,Less than  50,3,17.3,No precipitation,9
22.10.2019 14:45,23.6,659.5,,67,Wind blowing from the west,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,5,17,,
22.10.2019 08:45,22.4,660.9,1.1,77,Wind blowing from the south-east,1,40%.,15.9,,"10%  or less, but not 0",100-200,5,18.1,No precipitation,24
22.10.2019 05:45,16,659.8,,98,"Calm, no wind",0,50%.,,,50%.,200-300,5,15.7,,
21.10.2019 17:45,19,659.4,-1.2,93,Wind blowing from the south,1,Sky obscured by fog and/or other meteorological phenomena.,,25.8,,,0.8,17.8,No precipitation,9
21.10.2019 14:45,22.4,660.6,-1.6,81,Wind blowing from the south-southwest,1,"90  or more, but not 100%",,,40%.,100-200,2,19,,
21.10.2019 11:45,24.6,662.2,-0.4,72,Wind blowing from the south,1,70 – 80%.,,,40%.,600-1000,5,19.2,,
21.10.2019 08:45,18.8,662.6,1,89,Wind blowing from the west-northwest,1,100%.,16.9,,100%.,Less than  50,5,17,Trace of precipitation,24
21.10.2019 05:45,16.9,661.6,,92,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",Less than  50,5,15.5,,
20.10.2019 17:45,19,661.9,,88,"Calm, no wind",0,"90  or more, but not 100%",,22.8,60%.,300-600,4,17,Trace of precipitation,9
20.10.2019 14:45,20.8,662.9,,80,Wind blowing from the west-northwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,5,17.3,,
20.10.2019 11:45,22,664.4,-0.2,76,Wind blowing from the south,1,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,5,17.6,,
20.10.2019 08:45,19.4,664.6,1.2,89,Wind blowing from the south-southeast,1,100%.,17.2,,40%.,Less than  50,5,17.6,No precipitation,24
20.10.2019 05:45,17.2,663.4,,92,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",200-300,4,15.8,,
19.10.2019 14:45,24.6,663.4,-1.8,68,Wind blowing from the south-southwest,1,60%.,,,"10%  or less, but not 0",200-300,5,18.3,,
19.10.2019 11:45,24.9,665.2,-0.3,72,"Calm, no wind",0,70 – 80%.,,,20–30%.,300-600,4,19.4,,
19.10.2019 08:45,19.3,665.5,1.8,89,"Calm, no wind",0,70 – 80%.,16.5,,40%.,600-1000,3,17.4,No precipitation,24
19.10.2019 05:45,16.6,663.7,,96,"Calm, no wind",0,70 – 80%.,,,20–30%.,200-300,2,16,,
18.10.2019 17:45,19.4,662.2,-1.5,88,"Calm, no wind",0,20–30%.,,27.6,20–30%.,600-1000,4,17.3,No precipitation,9
18.10.2019 14:45,25,663.7,-1,68,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,5,18.7,,
18.10.2019 11:45,27,664.7,-0.1,60,Wind blowing from the south,1,40%.,,,40%.,200-300,5,18.5,,
18.10.2019 08:45,23.4,664.8,0.9,71,Wind blowing from the south-southeast,1,"10%  or less, but not 0",15.9,,"10%  or less, but not 0",100-200,5,17.9,No precipitation,24
18.10.2019 05:45,16,663.9,,86,"Calm, no wind",0,50%.,,,50%.,Less than  50,5,13.6,,
17.10.2019 17:45,19.4,662.5,-0.3,86,"Calm, no wind",0,20–30%.,,26.9,20–30%.,200-300,3,17,No precipitation,9
17.10.2019 14:45,24.8,662.8,-2,75,Wind blowing from the south,1,40%.,,,40%.,200-300,5,20,,
17.10.2019 11:45,26.2,664.8,0.1,60,"Calm, no wind",0,20–30%.,,,20–30%.,300-600,5,17.7,,
17.10.2019 08:45,23.4,664.7,0.9,72,"Calm, no wind",0,"10%  or less, but not 0",15.6,,"10%  or less, but not 0",1000-1500,6,18.1,No precipitation,24
