Local time in Pokhara (airport),T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
06.01.2019 17:45,16.2,692.8,-0.6,61,Wind blowing from the west,2,70 – 80%.,,21,"10%  or less, but not 0",600-1000,10,8.5,No precipitation,9
06.01.2019 14:45,20.3,693.4,-2.2,43,Wind blowing from the south-southeast,2,40%.,,,"10%  or less, but not 0",600-1000,10,7.2,,
06.01.2019 11:45,15.8,695.6,-1.4,61,Wind blowing from the south-east,2,40%.,,,20–30%.,600-1000,8,8.2,,
06.01.2019 08:45,7.7,697,2.8,90,"Calm, no wind",0,60%.,5.4,,"10%  or less, but not 0",1000-1500,10,6.2,No precipitation,24
06.01.2019 05:45,6.4,694.2,,95,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,7,5.6,,
05.01.2019 17:45,15.4,693.7,-0.8,65,Wind blowing from the west-northwest,2,"10%  or less, but not 0",,19.3,"10%  or less, but not 0",600-1000,10,8.8,No precipitation,9
05.01.2019 14:45,18.8,694.5,,49,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,7.8,,
05.01.2019 08:45,7.7,697,,90,"Calm, no wind",0,60%.,5.4,,"10%  or less, but not 0",1000-1500,10,6.2,No precipitation,24
05.01.2019 05:45,5.8,695.7,,95,Wind blowing from the north-west,1,no clouds,,,,,6,5,,
04.01.2019 17:45,15.4,694.6,-1.1,56,Wind blowing from the south,1,40%.,,19,"10%  or less, but not 0",600-1000,10,6.7,No precipitation,9
04.01.2019 14:45,16.2,695.7,0,54,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,6.8,,
04.01.2019 11:45,16.2,695.7,,52,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,6.3,,
04.01.2019 08:45,8,695.8,,88,Wind blowing from the south-east,1,"10%  or less, but not 0",5,,"10%  or less, but not 0",600-1000,10,6.1,No precipitation,24
03.01.2019 17:45,15.8,693.7,0,53,"Calm, no wind",0,60%.,,19.3,20–30%.,600-1000,10,6.3,No precipitation,9
03.01.2019 14:45,19,693.7,-2.1,40,Wind blowing from the south-east,3,40%.,,,40%.,600-1000,10,5.1,,
03.01.2019 11:45,16.2,695.8,-0.4,57,Wind blowing from the east,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,7.5,,
03.01.2019 08:45,8.2,696.2,1.6,88,Wind blowing from the north-northeast,1,"10%  or less, but not 0",4.8,,"10%  or less, but not 0",600-1000,10,6.3,No precipitation,24
03.01.2019 05:45,5,694.6,,95,"Calm, no wind",0,no clouds,,,,,7,4.2,,
02.01.2019 17:45,15.6,694.1,0.1,69,Wind blowing from the south-southwest,1,20–30%.,,19,"10%  or less, but not 0",600-1000,10,9.8,No precipitation,9
02.01.2019 14:45,18.4,694,-2.5,51,Wind blowing from the south,2,50%.,,,20–30%.,600-1000,10,7.9,,
02.01.2019 11:45,15.8,696.5,,60,Wind blowing from the south-southeast,1,40%.,,,20–30%.,600-1000,10,8,,
02.01.2019 05:45,5.8,695.3,,96,Wind blowing from the west-southwest,1,no clouds,,,,,8,5.2,,
01.01.2019 17:45,15.4,694.6,0.1,67,Wind blowing from the south,2,"10%  or less, but not 0",,20,"10%  or less, but not 0",600-1000,10,9.2,No precipitation,9
01.01.2019 14:45,19.4,694.5,-2,42,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,10,6,,
01.01.2019 11:45,16.4,696.5,-0.1,51,Wind blowing from the south-east,2,no clouds,,,,,10,6.3,,
01.01.2019 08:45,9,696.6,1.7,86,"Calm, no wind",0,no clouds,5.3,,,,10,6.7,No precipitation,24
01.01.2019 05:45,6.7,694.9,,93,"Calm, no wind",0,no clouds,,,,,10,5.7,,
31.12.2018 17:45,15.6,694.3,0.6,62,Wind blowing from the west-northwest,2,no clouds,,20.6,,,10,8.2,No precipitation,9
31.12.2018 14:45,20.5,693.7,-2.5,44,Wind blowing from the south-southeast,3,"10%  or less, but not 0",,,"10%  or less, but not 0",1000-1500,10,7.9,,
31.12.2018 11:45,16.6,696.2,,53,Wind blowing from the east-southeast,2,no clouds,,,,,10,6.9,,
31.12.2018 08:45,8,696.5,,84,Wind blowing from the west,1,no clouds,4.5,,,,10,5.5,No precipitation,24
30.12.2018 17:45,15.6,695.1,0.2,68,Wind blowing from the west-northwest,3,no clouds,,20.8,,,10,9.6,No precipitation,9
30.12.2018 14:45,20.4,694.9,-1.8,42,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,7.1,,
30.12.2018 11:45,16.4,696.7,-0.4,54,Wind blowing from the south-east,1,no clouds,,,,,10,7.1,,
30.12.2018 08:45,7.5,697.1,2.3,88,Wind blowing from the north-northwest,2,no clouds,4,,,,10,5.7,No precipitation,24
30.12.2018 05:45,5.2,694.8,,95,Wind blowing from the north,2,no clouds,,,,,7,4.4,,
29.12.2018 14:45,19,693.1,-1.4,46,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",1000-1500,10,7.2,,
29.12.2018 11:45,16,694.5,,54,Wind blowing from the south-east,2,no clouds,,,,,10,6.5,,
29.12.2018 08:45,7.9,694.7,,87,Wind blowing from the north-northwest,1,no clouds,4.4,,,,10,5.8,No precipitation,24
28.12.2018 17:45,14.4,690.6,0.6,70,"Calm, no wind",0,"10%  or less, but not 0",,18.7,"10%  or less, but not 0",600-1000,10,9,No precipitation,9
28.12.2018 14:45,18,690,-1.6,48,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,6.8,,
28.12.2018 11:45,15,691.6,-0.3,60,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,8,7.3,,
28.12.2018 08:45,8.4,691.9,1.9,90,"Calm, no wind",0,40%.,6.1,,20–30%.,1000-1500,7,6.9,No precipitation,24
28.12.2018 05:45,6.6,690,,92,Wind blowing from the west-northwest,1,40%.,,,40%.,1000-1500,6,5.4,,
27.12.2018 17:45,14,689.6,0,60,Wind blowing from the south-east,1,20–30%.,,19.3,20–30%.,600-1000,10,6.3,No precipitation,9
27.12.2018 14:45,18.8,689.6,-2.1,48,Wind blowing from the south-east,2,40%.,,,"10%  or less, but not 0",1000-1500,10,7.6,,
27.12.2018 11:45,16.6,691.7,,52,Wind blowing from the south-east,1,20–30%.,,,"10%  or less, but not 0",600-1000,10,6.6,,
27.12.2018 08:45,9,692.3,,88,Wind blowing from the south-west,1,50%.,7,,40%.,600-1000,10,7.1,No precipitation,24
27.12.2018 05:45,8.2,691,,94,Wind blowing from the west,2,40%.,,,40%.,600-1000,7,7.3,,
26.12.2018 17:45,15,690.5,,64,"Calm, no wind",0,60%.,,19,"10%  or less, but not 0",600-1000,10,8.3,No precipitation,9
26.12.2018 11:45,15,692.2,,67,Wind blowing from the east-southeast,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,9,8.8,,
26.12.2018 05:45,7.4,691,,95,"Calm, no wind",0,50%.,,,"10%  or less, but not 0",100-200,7,6.6,,
25.12.2018 17:45,16,690.1,0.3,72,"Calm, no wind",0,"10%  or less, but not 0",,20.4,"10%  or less, but not 0","2500 or more, or no clouds.",10,11,No precipitation,9
25.12.2018 14:45,20.2,689.8,,53,Wind blowing from the south-east,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,10,10.3,,
24.12.2018 17:45,15.9,690.8,-0.2,71,Wind blowing from the west-northwest,2,20–30%.,,20.7,,"2500 or more, or no clouds.",10,10.5,No precipitation,9
24.12.2018 14:45,20.4,691,-2.5,50,Wind blowing from the south-southeast,3,20–30%.,,,"10%  or less, but not 0","2500 or more, or no clouds.",10,9.7,,
24.12.2018 11:45,17.2,693.5,,60,Wind blowing from the east,3,20–30%.,,,20–30%.,"2500 or more, or no clouds.",8,9.2,,
24.12.2018 08:45,10,694.3,1.2,84,Wind blowing from the west,1,"10%  or less, but not 0",6.5,,"10%  or less, but not 0",2000-2500,10,7.4,No precipitation,24
24.12.2018 05:45,6.7,693.1,,97,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,6,6.3,,
23.12.2018 17:45,16.1,692.5,-0.3,68,Wind blowing from the west,2,no clouds,,20.9,,,10,10.2,No precipitation,9
23.12.2018 14:45,20.4,692.8,-2.2,44,Wind blowing from the south-east,2,no clouds,,,,,10,7.8,,
23.12.2018 11:45,17.2,695,,62,Wind blowing from the south-east,2,no clouds,,,,,10,9.7,,
23.12.2018 05:45,7.1,694.1,,95,"Calm, no wind",0,no clouds,,,,,7,6.3,,
22.12.2018 17:45,15.7,693.4,-0.3,75,Wind blowing from the north-west,2,70 – 80%.,,18,20–30%.,600-1000,6,11.2,No precipitation,9
22.12.2018 14:45,17.6,693.7,-1.2,57,Wind blowing from the east,1,"90  or more, but not 100%",,,40%.,600-1000,7,8.8,,
22.12.2018 11:45,14,694.9,,80,Wind blowing from the south,2,"90  or more, but not 100%",,,40%.,600-1000,5,10.6,,
22.12.2018 05:45,10.7,692.8,,92,Wind blowing from the north-northwest,1,20–30%.,,,20–30%.,300-600,4,9.5,,
21.12.2018 17:45,15.1,691,-0.5,76,Wind blowing from the west,2,70 – 80%.,,18.8,20–30%.,600-1000,6,10.9,No precipitation,9
21.12.2018 14:45,17.6,691.5,-2.2,57,Wind blowing from the east-southeast,2,70 – 80%.,,,40%.,600-1000,7,8.8,,
21.12.2018 11:45,17,693.7,,67,Wind blowing from the south,3,20–30%.,,,20–30%.,600-1000,5,10.8,,
20.12.2018 17:45,15.4,691.6,-0.3,79,Wind blowing from the south,1,20–30%.,,19.3,"10%  or less, but not 0",600-1000,5,11.8,No precipitation,9
20.12.2018 14:45,18.9,691.9,-2.6,63,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",1000-1500,6,11.7,,
20.12.2018 11:45,16,694.5,-0.5,70,Wind blowing from the south-southeast,2,no clouds,,,,,5,10.4,,
20.12.2018 08:45,9.7,695,,95,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,7.5,,,,0.4,8.9,No precipitation,24
20.12.2018 05:45,8.6,694.3,,96,"Calm, no wind",0,20–30%.,,,20–30%.,100-200,3,8,,
19.12.2018 17:45,16.1,692.5,0.5,79,Wind blowing from the south-west,2,20–30%.,,20.2,"10%  or less, but not 0",600-1000,6,12.5,No precipitation,9
19.12.2018 14:45,19.7,692,-2,59,Wind blowing from the south,2,20–30%.,,,"10%  or less, but not 0",600-1000,6,11.4,,
19.12.2018 11:45,17.8,694,-0.3,63,Wind blowing from the south-east,2,20–30%.,,,20–30%.,600-1000,5,10.6,,
19.12.2018 08:45,12,694.3,,79,Wind blowing from the south,1,70 – 80%.,10,,20–30%.,600-1000,4,8.4,No precipitation,24
19.12.2018 05:45,11.6,692.7,,93,"Calm, no wind",0,60%.,,,"10%  or less, but not 0",600-1000,6,10.5,,
18.12.2018 14:45,19.8,692.5,-2,47,Wind blowing from the south-southeast,3,20–30%.,,,20–30%.,600-1000,10,8.1,,
18.12.2018 11:45,18.2,694.5,-0.4,47,Wind blowing from the east-southeast,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,6.7,,
18.12.2018 08:45,10.4,694.9,,79,Wind blowing from the north-west,1,50%.,8.8,,"10%  or less, but not 0",1000-1500,12,6.9,No precipitation,24
18.12.2018 05:45,9.4,693.7,,86,Wind blowing from the south-west,2,"10%  or less, but not 0",,,,"2500 or more, or no clouds.",8,7.2,,
17.12.2018 17:45,15.4,694.3,0.9,69,Wind blowing from the west,2,70 – 80%.,,20.1,"10%  or less, but not 0",600-1000,10,9.6,No precipitation,9
17.12.2018 14:45,19.6,693.4,-2.7,54,Wind blowing from the north-west,3,"90  or more, but not 100%",,,"10%  or less, but not 0",600-1000,12,9.9,,
17.12.2018 11:45,17.4,696.1,,55,Wind blowing from the east,3,20–30%.,,,"10%  or less, but not 0",600-1000,12,8.3,,
17.12.2018 08:45,10.5,697.3,,82,Wind blowing from the west-southwest,2,40%.,6.5,,"10%  or less, but not 0",1000-1500,12,7.6,No precipitation,24
16.12.2018 17:45,16.8,694.8,-0.4,64,Wind blowing from the west,2,no clouds,,21.8,,,12,10,No precipitation,9
16.12.2018 14:45,21.8,695.2,-2.7,40,Wind blowing from the south-southeast,2,no clouds,,,,,12,7.5,,
16.12.2018 11:45,18.6,697.9,,49,Wind blowing from the south-east,1,no clouds,,,,,12,7.7,,
16.12.2018 08:45,10.5,698.1,,81,"Calm, no wind",0,no clouds,6.7,,,,15,7.4,No precipitation,24
16.12.2018 05:45,8.1,696.3,,92,"Calm, no wind",0,no clouds,,,,,10,6.9,,
15.12.2018 17:45,16.8,694.6,0.4,68,Wind blowing from the west,2,no clouds,,22,,,12,10.8,No precipitation,9
15.12.2018 14:45,21.4,694.2,-2,44,Wind blowing from the south-southeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,12,8.5,,
15.12.2018 11:45,18.4,696.2,-0.4,54,Wind blowing from the south,2,no clouds,,,,,12,8.8,,
15.12.2018 08:45,10.6,696.6,,77,"Calm, no wind",0,no clouds,6.7,,,,15,6.7,No precipitation,24
15.12.2018 05:45,8,695.2,,92,Wind blowing from the north-west,2,no clouds,,,,,10,6.8,,
14.12.2018 17:45,17,693.7,-0.1,62,Wind blowing from the west,2,"10%  or less, but not 0",,22.4,"10%  or less, but not 0",600-1000,10,9.5,No precipitation,9
14.12.2018 14:45,22,693.8,-2,44,Wind blowing from the south-east,2,20–30%.,,,20–30%.,600-1000,10,9.3,,
14.12.2018 11:45,18.8,695.8,-0.6,56,Wind blowing from the east-southeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,9.7,,
14.12.2018 08:45,11.2,696.4,1.2,84,"Calm, no wind",0,"10%  or less, but not 0",8.5,,"10%  or less, but not 0",600-1000,12,8.5,No precipitation,24
14.12.2018 05:45,8.8,695.2,,90,Wind blowing from the west-northwest,2,no clouds,,,,,8,7.3,,
13.12.2018 17:45,16.8,693.1,-0.3,66,Wind blowing from the north-west,2,"10%  or less, but not 0",,22.5,"10%  or less, but not 0",600-1000,10,10.4,No precipitation,9
13.12.2018 14:45,22,693.4,0,42,Wind blowing from the south-east,3,20–30%.,,,20–30%.,600-1000,10,8.4,,
13.12.2018 11:45,19.2,693.4,-1.8,55,Wind blowing from the south-southeast,2,20–30%.,,,20–30%.,600-1000,10,9.8,,
13.12.2018 08:45,10.6,695.2,2.1,77,Wind blowing from the south-west,1,50%.,6.5,,"10%  or less, but not 0",1000-1500,12,6.7,No precipitation,24
13.12.2018 05:45,7,693.1,,91,"Calm, no wind",0,no clouds,,,,,8,5.6,,
12.12.2018 17:45,16.6,692.5,-0.3,68,Wind blowing from the south,2,40%.,,20.9,20–30%.,600-1000,10,10.6,No precipitation,9
12.12.2018 14:45,19.6,692.8,-2,54,Wind blowing from the east,2,"90  or more, but not 100%",,,40%.,600-1000,10,9.9,,
12.12.2018 11:45,17.6,694.8,,51,Wind blowing from the east-southeast,1,50%.,,,20–30%.,600-1000,10,7.3,,
11.12.2018 17:45,16.4,691.8,0.1,66,Wind blowing from the west,2,"10%  or less, but not 0",,22.1,"10%  or less, but not 0",600-1000,10,10,No precipitation,9
11.12.2018 14:45,21.7,691.7,-1.9,43,Wind blowing from the east-southeast,3,20–30%.,,,20–30%.,600-1000,10,8.7,,
11.12.2018 11:45,18,693.6,-0.6,64,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,11.1,,
11.12.2018 08:45,11.7,694.2,,82,"Calm, no wind",0,"10%  or less, but not 0",7.5,,"10%  or less, but not 0",600-1000,12,8.7,No precipitation,24
11.12.2018 05:45,7.8,692.5,,94,Wind blowing from the west-northwest,1,20–30%.,,,"10%  or less, but not 0",2000-2500,6,6.9,,
10.12.2018 17:45,16.4,691.2,-0.3,67,Wind blowing from the west,2,"10%  or less, but not 0",,21.7,"10%  or less, but not 0",600-1000,10,10.1,No precipitation,9
10.12.2018 14:45,21.5,691.5,-2.2,48,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,10.1,,
10.12.2018 11:45,18.2,693.7,-0.3,65,Wind blowing from the south,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,7,11.4,,
10.12.2018 08:45,11.3,694,1.8,90,"Calm, no wind",0,"10%  or less, but not 0",9.6,,"10%  or less, but not 0",600-1000,7,9.7,No precipitation,24
10.12.2018 05:45,8.8,692.2,,95,Wind blowing from the west,1,no clouds,,,,,5,8,,
09.12.2018 17:45,16.8,690.8,0,80,Wind blowing from the west,2,"10%  or less, but not 0",,21,"10%  or less, but not 0",600-1000,7,13.3,No precipitation,9
09.12.2018 14:45,20.6,690.8,-2.3,55,Wind blowing from the south-southeast,2,40%.,,,40%.,600-1000,8,11.1,,
09.12.2018 11:45,17.5,693.1,-0.7,71,Wind blowing from the south-east,1,20–30%.,,,20–30%.,600-1000,6,12.1,,
09.12.2018 08:45,12,693.8,,92,"Calm, no wind",0,40%.,9.2,,"10%  or less, but not 0",Less than  50,0.5,10.8,No precipitation,24
08.12.2018 17:45,17,691.9,-0.2,76,Wind blowing from the west,1,70 – 80%.,,20.7,40%.,600-1000,6,12.8,No precipitation,9
08.12.2018 14:45,20.1,692.1,-1.9,52,Wind blowing from the south-east,3,50%.,,,40%.,600-1000,8,9.9,,
08.12.2018 11:45,18.2,694,-0.5,69,Wind blowing from the south-east,2,20–30%.,,,20–30%.,600-1000,6,12.4,,
08.12.2018 08:45,11.7,694.5,,94,Wind blowing from the east-southeast,2,40%.,9.2,,20–30%.,100-200,3,10.8,No precipitation,24
07.12.2018 17:45,17.2,690.2,0.4,75,Wind blowing from the south-southeast,2,40%.,,21.1,40%.,600-1000,6,12.7,No precipitation,9
07.12.2018 14:45,20.7,689.8,-1.8,58,Wind blowing from the south-southeast,2,40%.,,,40%.,600-1000,9,12,,
07.12.2018 11:45,18,691.6,-0.6,67,Wind blowing from the east-southeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,11.8,,
07.12.2018 08:45,12.7,692.2,,91,"Calm, no wind",0,"10%  or less, but not 0",10.2,,"10%  or less, but not 0",600-1000,7,11.2,No precipitation,24
06.12.2018 17:45,18.2,689.7,-0.2,77,Wind blowing from the west,2,60%.,,22,20–30%.,600-1000,6,14.1,No precipitation,9
06.12.2018 14:45,21.6,689.9,-1.8,56,Wind blowing from the south-southeast,2,40%.,,,40%.,600-1000,8,12.4,,
06.12.2018 11:45,18.8,691.7,-0.5,73,Wind blowing from the east-southeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,13.8,,
06.12.2018 08:45,13.4,692.2,1,96,Wind blowing from the south-southeast,1,60%.,12.4,,"10%  or less, but not 0",100-200,1.5,12.7,No precipitation,24
06.12.2018 05:45,12.8,691.2,,97,"Calm, no wind",0,50%.,,,"10%  or less, but not 0",100-200,2,12.3,,
05.12.2018 17:45,17.4,690.3,0,80,Wind blowing from the west,1,60%.,,21.5,20–30%.,600-1000,6,13.8,No precipitation,9
05.12.2018 14:45,20.8,690.3,-2.8,59,Wind blowing from the south-east,3,60%.,,,20–30%.,600-1000,7,12.5,,
05.12.2018 11:45,17.2,693.1,-0.7,73,Wind blowing from the south-east,2,"90  or more, but not 100%",,,40%.,600-1000,5,12.3,,
05.12.2018 08:45,12,693.8,,84,"Calm, no wind",0,60%.,9.9,,"10%  or less, but not 0",100-200,2.5,9.4,No precipitation,24
04.12.2018 17:45,18,691.9,-0.6,77,Wind blowing from the south,2,70 – 80%.,,21.5,40%.,600-1000,6,13.9,No precipitation,9
04.12.2018 14:45,21,692.5,-2.6,59,Wind blowing from the south-southeast,2,20–30%.,,,20–30%.,600-1000,6,12.7,,
04.12.2018 11:45,18.2,695.1,-0.3,74,Wind blowing from the south,2,20–30%.,,,20–30%.,600-1000,4,13.4,,
04.12.2018 08:45,12.4,695.4,1.5,95,"Calm, no wind",0,"10%  or less, but not 0",10.7,,"10%  or less, but not 0",100-200,1.5,11.6,No precipitation,24
04.12.2018 05:45,11.8,693.9,,96,"Calm, no wind",0,70 – 80%.,,,40%.,100-200,3,11.1,,
03.12.2018 17:45,18,691.2,-0.1,77,Wind blowing from the south,2,60%.,,21.9,20–30%.,600-1000,6,13.9,No precipitation,9
03.12.2018 14:45,21.2,691.3,-2.4,58,Wind blowing from the south-east,1,40%.,,,20–30%.,600-1000,6,12.6,,
03.12.2018 11:45,18.8,693.7,-0.3,70,Wind blowing from the east-southeast,2,20–30%.,,,20–30%.,600-1000,5,13.1,,
03.12.2018 08:45,12.3,694,,95,"Calm, no wind",0,50%.,10.1,,"10%  or less, but not 0",600-1000,5,11.5,No precipitation,24
02.12.2018 17:45,18.2,690.1,-0.4,79,Wind blowing from the west,2,60%.,,22.4,20–30%.,600-1000,6,14.5,No precipitation,9
02.12.2018 14:45,21,690.5,-2.3,54,Wind blowing from the south-east,2,50%.,,,20–30%.,600-1000,6,11.2,,
02.12.2018 11:45,19.6,692.8,-0.3,68,Wind blowing from the south-southeast,3,50%.,,,20–30%.,600-1000,5,13.6,,
02.12.2018 08:45,14.2,693.1,1.2,95,"Calm, no wind",0,"90  or more, but not 100%",13,,20–30%.,50-100,4,13.4,No precipitation,24
02.12.2018 05:45,13,691.9,,97,"Calm, no wind",0,60%.,,,20–30%.,600-1000,6,12.5,,
01.12.2018 14:45,20.1,691.2,-2.1,62,Wind blowing from the north-east,1,70 – 80%.,,,40%.,600-1000,7,12.6,,
01.12.2018 11:45,19,693.3,-0.7,74,Wind blowing from the south-east,2,60%.,,,40%.,300-600,5,14.3,,
01.12.2018 08:45,13.4,694,,96,"Calm, no wind",0,70 – 80%.,12.3,,40%.,100-200,1.5,12.7,No precipitation,24
30.11.2018 17:45,18.8,692.6,-0.5,81,Wind blowing from the south-east,1,70 – 80%.,,22.9,40%.,600-1000,7,15.4,No precipitation,9
30.11.2018 14:45,20.4,693.1,-2.3,71,Wind blowing from the south-east,3,40%.,,,20–30%.,600-1000,8,14.9,,
30.11.2018 11:45,19.8,695.4,-0.5,70,Wind blowing from the south-southeast,2,40%.,,,20–30%.,600-1000,7,14.2,,
30.11.2018 08:45,14.8,695.9,1.5,88,"Calm, no wind",0,"90  or more, but not 100%",12.5,,40%.,100-200,6,12.8,No precipitation,24
30.11.2018 05:45,13.8,694.4,,94,"Calm, no wind",0,70 – 80%.,,,40%.,100-200,4,12.8,,
29.11.2018 17:45,20.4,693.3,-0.1,75,"Calm, no wind",0,60%.,,24,"10%  or less, but not 0",600-1000,8,15.7,No precipitation,9
29.11.2018 14:45,23.6,693.4,-2.1,60,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,15.4,,
29.11.2018 11:45,21.6,695.5,-0.3,62,Wind blowing from the east-southeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,14.1,,
29.11.2018 08:45,15.6,695.8,,89,"Calm, no wind",0,"10%  or less, but not 0",12.2,,"10%  or less, but not 0",600-1000,10,13.7,No precipitation,24
28.11.2018 17:45,19.7,693.8,0,79,Wind blowing from the west,1,20–30%.,,24,,"2500 or more, or no clouds.",10,15.9,No precipitation,9
28.11.2018 14:45,23.1,693.8,-1.9,57,Wind blowing from the south-southeast,2,20–30%.,,,,"2500 or more, or no clouds.",10,14,,
28.11.2018 11:45,20.5,695.7,-0.5,66,Wind blowing from the south-east,3,50%.,,,"10%  or less, but not 0",1000-1500,10,13.9,,
28.11.2018 08:45,14,696.2,1.4,93,"Calm, no wind",0,20–30%.,11.5,,"10%  or less, but not 0",100-200,5,12.9,No precipitation,24
28.11.2018 05:45,12.4,694.8,,98,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,5,12.1,,
27.11.2018 17:45,19.6,694.3,0.5,75,Wind blowing from the west-southwest,2,"10%  or less, but not 0",,23.8,,"2500 or more, or no clouds.",10,15,No precipitation,9
27.11.2018 14:45,23.4,693.8,-2.1,53,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,13.2,,
27.11.2018 11:45,21.3,695.9,0,59,Wind blowing from the east-southeast,2,20–30%.,,,"10%  or less, but not 0",600-1000,10,12.9,,
27.11.2018 08:45,14.2,695.9,,92,Wind blowing from the west,1,"10%  or less, but not 0",10.7,,"10%  or less, but not 0",300-600,8,12.9,No precipitation,24
26.11.2018 17:45,19,692,0.4,74,Wind blowing from the west-northwest,2,no clouds,,24,,,12,14.3,No precipitation,9
26.11.2018 14:45,23.8,691.6,-1.9,52,Wind blowing from the south,3,no clouds,,,,,12,13.2,,
26.11.2018 11:45,21,693.5,-0.5,59,Wind blowing from the south-southeast,2,no clouds,,,,,12,12.7,,
26.11.2018 08:45,14,694,1.2,79,Wind blowing from the south-southeast,1,no clouds,9.5,,,,12,10.4,No precipitation,24
26.11.2018 05:45,9.9,692.8,,94,"Calm, no wind",0,no clouds,,,,,10,9,,
25.11.2018 17:45,19.4,692.3,-0.1,73,Wind blowing from the west-northwest,2,no clouds,,25.4,,,12,14.3,No precipitation,9
25.11.2018 14:45,25,692.4,-2.2,52,Wind blowing from the south-southeast,3,no clouds,,,,,10,14.3,,
25.11.2018 11:45,21.8,694.6,-0.6,63,Wind blowing from the north-east,2,no clouds,,,,,8,14.4,,
25.11.2018 08:45,15,695.2,,85,Wind blowing from the south-southeast,1,no clouds,11.3,,,,8,12.5,No precipitation,24
25.11.2018 05:45,12.6,693.8,,94,Wind blowing from the north-east,1,no clouds,,,,,6,11.6,,
24.11.2018 17:45,19.2,693,0.5,74,Wind blowing from the south-west,2,50%.,,23.5,40%.,600-1000,8,14.5,No precipitation,9
24.11.2018 14:45,23.2,692.5,-1.7,54,Wind blowing from the south-southeast,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,8,13.4,,
24.11.2018 11:45,20.6,694.2,-0.7,78,Wind blowing from the south-southeast,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,7,16.6,,
24.11.2018 08:45,13.9,694.9,2,92,"Calm, no wind",0,"10%  or less, but not 0",10.8,,"10%  or less, but not 0",300-600,6,12.6,No precipitation,24
24.11.2018 05:45,11,692.9,,94,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,4,10,,
23.11.2018 17:45,19.6,692.1,-0.4,81,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,24.3,"10%  or less, but not 0",600-1000,6,16.3,No precipitation,9
23.11.2018 14:45,23.5,692.5,-2.4,57,Wind blowing from the south-east,3,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,7,14.6,,
23.11.2018 11:45,21.2,694.9,,67,Wind blowing from the south-southeast,2,no clouds,,,,,6,14.7,,
23.11.2018 08:45,14.1,695.5,1.5,91,"Calm, no wind",0,no clouds,10.8,,,,5,12.6,No precipitation,24
23.11.2018 05:45,11.2,694,,94,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,10.2,,
22.11.2018 17:45,19.8,692.8,-0.1,76,Wind blowing from the south-southeast,1,"90  or more, but not 100%",,23.8,40%.,1000-1500,4,15.5,No precipitation,9
22.11.2018 14:45,22.2,692.9,-1.5,56,Wind blowing from the south-east,1,"90  or more, but not 100%",,,20–30%.,600-1000,5,12.9,,
22.11.2018 11:45,21.4,694.4,,62,Wind blowing from the south-southeast,2,40%.,,,"10%  or less, but not 0",600-1000,5,13.9,,
