Local time in Dadeldhura,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
16.03.2019 05:45,6.2,611.6,,100,Wind blowing from the east-southeast,1,"90  or more, but not 100%",,,50%.,200-300,6,6.2,,
15.03.2019 17:45,13.3,610.9,-1.4,65,Wind blowing from the south-southwest,2,70 – 80%.,,14.8,40%.,200-300,8,6.9,0.1,9
15.03.2019 14:45,13.7,612.3,-1.4,56,Wind blowing from the east,1,100%.,,,20–30%.,200-300,10,4.9,,
15.03.2019 11:45,12.2,613.7,0.7,73,Wind blowing from the south,2,"90  or more, but not 100%",,,50%.,200-300,10,7.4,,
15.03.2019 08:45,8.6,613,1.4,91,Wind blowing from the east,2,70 – 80%.,6.1,,40%.,300-600,8,7.2,7,24
15.03.2019 05:45,6.2,611.6,,100,Wind blowing from the east-southeast,1,"90  or more, but not 100%",,,50%.,200-300,6,6.2,,
14.03.2019 17:45,16.1,611.9,-0.8,48,Wind blowing from the east,3,70 – 80%.,,20.3,40%.,200-300,10,5,No precipitation,9
14.03.2019 14:45,19.7,612.7,-1,34,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,10,3.4,,
14.03.2019 11:45,17.8,613.7,0.7,33,Wind blowing from the east-southeast,1,60%.,,,20–30%.,200-300,10,1.3,,
14.03.2019 08:45,13.6,613,1.4,54,"Calm, no wind",0,60%.,8.7,,40%.,200-300,8,4.5,No precipitation,24
14.03.2019 05:45,9,611.6,,56,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,0.5,,
13.03.2019 17:45,13.4,609.9,-0.6,58,Wind blowing from the south,2,100%.,,16.5,20–30%.,200-300,8,5.3,No precipitation,9
13.03.2019 14:45,14.8,610.5,-1.7,51,Wind blowing from the east,2,"90  or more, but not 100%",,,40%.,300-600,10,4.7,,
13.03.2019 11:45,13.6,612.2,,75,"Calm, no wind",0,"90  or more, but not 100%",,,50%.,200-300,10,9.3,,
13.03.2019 08:45,11,611.3,1.6,64,Wind blowing from the east,2,"90  or more, but not 100%",9.5,,60%.,200-300,8,4.3,,
13.03.2019 05:45,10,609.7,,75,"Calm, no wind",0,no clouds,,,,,6,5.7,,
12.03.2019 17:45,15.3,611.1,,57,Wind blowing from the east,2,70 – 80%.,,19.7,40%.,200-300,10,6.8,No precipitation,9
12.03.2019 11:45,17.4,612.8,0.7,35,Wind blowing from the south,2,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,10,1.8,,
12.03.2019 08:45,13,612.1,,59,Wind blowing from the east,2,"10%  or less, but not 0",7.7,,"10%  or less, but not 0",300-600,8,5.1,1,24
11.03.2019 17:45,16.8,608.9,-1.4,28,Wind blowing from the east,2,20–30%.,,19.6,"10%  or less, but not 0",200-300,10,-1.9,No precipitation,9
11.03.2019 14:45,17.9,610.3,-0.9,35,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,10,2.1,,
11.03.2019 11:45,15.8,611.2,0.4,44,Wind blowing from the east,1,no clouds,,,,,10,3.6,,
11.03.2019 08:45,11.8,610.8,1.6,63,"Calm, no wind",0,no clouds,5,,,,8,4.9,No precipitation,24
11.03.2019 05:45,6,609.2,,83,Wind blowing from the south,2,no clouds,,,,,6,3.3,,
10.03.2019 17:45,15.5,609.1,-0.1,49,"Calm, no wind",0,20–30%.,,17.8,20–30%.,200-300,10,4.9,No precipitation,9
10.03.2019 14:45,17.7,609.2,-0.6,38,Wind blowing from the east,2,60%.,,,40%.,200-300,10,3.2,,
10.03.2019 11:45,16.2,609.8,0.3,41,Wind blowing from the south,1,no clouds,,,,,10,2.7,,
10.03.2019 08:45,13.2,609.5,1.1,57,Wind blowing from the south-east,2,no clouds,7,,,,10,4.9,No precipitation,24
10.03.2019 05:45,7.2,608.4,,74,"Calm, no wind",0,no clouds,,,,,8,2.9,,
09.03.2019 17:45,14.6,608.5,-0.7,50,Wind blowing from the east,2,20–30%.,,18,20–30%.,200-300,10,4.1,No precipitation,9
09.03.2019 14:45,17.5,609.2,-0.3,24,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,10,-3.4,,
09.03.2019 11:45,15.7,609.5,0.4,43,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,10,3,,
09.03.2019 08:45,10.8,609.1,,48,"Calm, no wind",0,no clouds,7.5,,,,10,0.2,No precipitation,24
09.03.2019 05:45,7.6,608,,73,"Calm, no wind",0,no clouds,,,,,6,3,,
08.03.2019 17:45,12.3,607.7,,50,"Calm, no wind",0,70 – 80%.,,16.8,40%.,200-300,10,2,No precipitation,9
08.03.2019 11:45,14.3,609.2,-0.1,58,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,6.1,,
08.03.2019 08:45,9,609.3,1.9,74,"Calm, no wind",0,no clouds,4.9,,,,8,4.5,No precipitation,24
08.03.2019 05:45,5,607.4,,87,"Calm, no wind",0,no clouds,,,,,6,3,,
07.03.2019 17:45,11.5,606.8,-0.1,62,Wind blowing from the east,2,20–30%.,,15.6,20–30%.,200-300,10,4.3,No precipitation,9
07.03.2019 14:45,14.7,606.9,-1,64,Wind blowing from the east,2,60%.,,,40%.,200-300,10,8,,
07.03.2019 11:45,13.1,607.9,0.7,59,Wind blowing from the east,2,20–30%.,,,20–30%.,300-600,8,5.3,,
07.03.2019 08:45,8,607.2,,86,"Calm, no wind",0,no clouds,5,,,,8,5.8,No precipitation,24
06.03.2019 17:45,13.3,605.8,-0.9,65,Wind blowing from the east,2,20–30%.,,16.6,20–30%.,200-300,10,6.9,No precipitation,9
06.03.2019 14:45,15.7,606.7,-0.8,60,Wind blowing from the south,3,20–30%.,,,20–30%.,200-300,10,8,,
06.03.2019 11:45,13.3,607.5,,64,Wind blowing from the east,2,no clouds,,,,,10,6.5,,
06.03.2019 08:45,9.2,607,0.9,70,Wind blowing from the east,1,no clouds,4.1,,,,8,4,No precipitation,24
06.03.2019 05:45,4.8,606.1,,87,"Calm, no wind",0,no clouds,,,,,6,2.8,,
05.03.2019 17:45,12.1,606.1,-0.4,68,Wind blowing from the east-southeast,2,20–30%.,,15.6,20–30%.,200-300,10,6.3,No precipitation,9
05.03.2019 14:45,14.7,606.5,-0.5,61,"Calm, no wind",0,60%.,,,20–30%.,200-300,10,7.2,,
05.03.2019 11:45,12.2,607,0.6,70,Wind blowing from the east,1,70 – 80%.,,,50%.,200-300,10,6.8,,
05.03.2019 08:45,7.2,606.4,0.9,84,"Calm, no wind",0,no clouds,3.5,,,,8,4.6,5,24
05.03.2019 05:45,4.2,605.5,,92,Wind blowing from the south,2,no clouds,,,,,6,3,,
04.03.2019 17:45,11.8,605.5,-0.3,64,Wind blowing from the east,2,60%.,,17.2,50%.,200-300,8,5.1,No precipitation,9
04.03.2019 14:45,16.5,605.8,-1.2,54,Wind blowing from the south,2,70 – 80%.,,,40%.,200-300,10,7,,
04.03.2019 11:45,13.4,607,0,72,Wind blowing from the east,2,50%.,,,20–30%.,200-300,8,8.4,,
04.03.2019 08:45,10,607,0.7,85,Wind blowing from the east-southeast,1,no clouds,5.1,,,,8,7.6,0.1,24
04.03.2019 05:45,5.2,606.3,,95,"Calm, no wind",0,no clouds,,,,,6,4.4,,
03.03.2019 17:45,12.5,607.4,-0.6,72,Wind blowing from the south,2,50%.,,14.2,20–30%.,200-300,10,7.5,0.1,9
03.03.2019 14:45,12.1,608,-0.9,71,Wind blowing from the east,2,"90  or more, but not 100%",,,20–30%.,200-300,10,7,,
03.03.2019 11:45,7.6,608.9,,90,"Calm, no wind",0,100%.,,,50%.,200-300,10,6.1,,
03.03.2019 08:45,6.1,608.9,0.7,100,"Calm, no wind",0,100%.,5.1,,60%.,200-300,8,6.1,7,24
03.03.2019 05:45,5.2,608.2,,100,Wind blowing from the south-east,2,100%.,,,100%.,100-200,3.2,5.2,,
02.03.2019 17:45,11.1,609.5,-1.7,72,"Calm, no wind",0,100%.,,14.1,50%.,200-300,8,6.1,No precipitation,9
02.03.2019 14:45,12.1,611.2,0,57,Wind blowing from the east,2,70 – 80%.,,,50%.,200-300,8,3.8,,
02.03.2019 11:45,11.7,611.2,1.1,65,"Calm, no wind",0,100%.,,,50%.,200-300,8,5.3,,
02.03.2019 08:45,7.6,610.1,1.6,68,"Calm, no wind",0,100%.,6.1,,60%.,200-300,7,2.1,No precipitation,24
02.03.2019 05:45,6.2,608.5,,79,Wind blowing from the east,1,"90  or more, but not 100%",,,60%.,200-300,6,2.7,,
01.03.2019 17:45,11.6,608.1,-0.2,50,Wind blowing from the east,2,"10%  or less, but not 0",14.4,14.4,"10%  or less, but not 0",200-300,10,1.5,No precipitation,9
01.03.2019 14:45,13.2,608.3,-1.1,42,Wind blowing from the west,2,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,10,0.6,,
01.03.2019 11:45,11.1,609.4,,55,Wind blowing from the east,1,no clouds,,,,,10,2.3,,
01.03.2019 08:45,6.8,609.1,,74,"Calm, no wind",0,no clouds,1.3,,,,8,2.5,No precipitation,24
28.02.2019 17:45,6.7,606.8,-0.3,61,"Calm, no wind",0,20–30%.,,9.8,20–30%.,200-300,10,-0.3,0.1,9
28.02.2019 14:45,8.5,607.1,-0.8,76,"Calm, no wind",0,50%.,,,20–30%.,200-300,10,4.4,,
28.02.2019 11:45,7.7,607.9,0.8,74,Wind blowing from the east,1,60%.,,,70 – 80%.,200-300,10,3.3,,
28.02.2019 08:45,2,607.1,0.6,95,"Calm, no wind",0,"10%  or less, but not 0",-1.2,,"10%  or less, but not 0",300-600,8,1.2,15,24
28.02.2019 05:45,-1.2,606.5,,100,"Calm, no wind",0,no clouds,,,,,6,-1.2,,
27.02.2019 17:45,0,606.2,-1.1,100,Wind blowing from the east,2,Sky obscured by fog and/or other meteorological phenomena.,,4.5,,,0.2,0,3,9
27.02.2019 14:45,3.4,607.3,0.6,100,Wind blowing from the east-southeast,2,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,3.4,,
27.02.2019 11:45,2.2,606.7,,100,Wind blowing from the east,3,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,2.2,,
27.02.2019 08:45,12.8,,,76,Wind blowing from the south-southwest,1,"90  or more, but not 100%",0.2,,"90  or more, but not 100%",600-1000,4,8.6,14,24
27.02.2019 05:45,0.8,606.4,,100,Wind blowing from the east,5,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,0.8,,
26.02.2019 17:45,4.6,607.6,-0.6,83,Wind blowing from the east,3,100%.,,10,50%.,200-300,6,2,0.5,9
26.02.2019 14:45,9.5,608.2,-0.6,63,Wind blowing from the south-southwest,2,70 – 80%.,,,40%.,200-300,8,2.8,,
26.02.2019 11:45,7.2,608.8,0.7,77,Wind blowing from the south,2,"90  or more, but not 100%",,,50%.,200-300,8,3.3,,
26.02.2019 08:45,2.5,608.1,1.5,79,Wind blowing from the east,2,60%.,,,20–30%.,200-300,8,-0.8,12,24
26.02.2019 05:45,1.6,606.6,,100,Wind blowing from the east,5,70 – 80%.,,,40%.,200-300,6,1.6,,
25.02.2019 17:45,4.9,606.4,-0.9,88,Wind blowing from the south,2,70 – 80%.,,12.7,40%.,200-300,10,3.1,8,9
25.02.2019 14:45,11.3,607.3,-0.9,62,"Calm, no wind",0,70 – 80%.,,,20–30%.,200-300,10,4.3,,
25.02.2019 11:45,9.8,608.2,0.3,65,Wind blowing from the east,3,"90  or more, but not 100%",,,40%.,300-600,8,3.5,,
25.02.2019 08:45,5.8,607.9,0.6,85,Wind blowing from the east,1,70 – 80%.,4.4,,40%.,200-300,8,3.5,0.1,24
25.02.2019 05:45,4.4,607.3,,92,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,3.2,,
24.02.2019 17:45,11.7,607.9,-0.2,59,Wind blowing from the south,2,"90  or more, but not 100%",,15.7,50%.,300-600,8,3.9,No precipitation,9
24.02.2019 14:45,12.5,608.1,-0.5,59,Wind blowing from the east,4,100%.,,,40%.,200-300,8,4.6,,
24.02.2019 11:45,11,608.6,0,56,Wind blowing from the east,4,100%.,,,60%.,200-300,8,2.4,,
24.02.2019 08:45,8.2,608.6,0.4,69,Wind blowing from the east,2,"90  or more, but not 100%",7.5,,60%.,200-300,8,2.8,No precipitation,24
24.02.2019 05:45,7.6,608.2,,75,"Calm, no wind",0,70 – 80%.,,,50%.,200-300,6,3.4,,
23.02.2019 17:45,15,609,-0.2,51,Wind blowing from the south,2,20–30%.,,17.8,20–30%.,200-300,10,5,No precipitation,9
23.02.2019 14:45,17.7,609.2,-1.1,31,,2,20–30%.,,,20–30%.,200-300,10,0.1,,
23.02.2019 11:45,15.8,610.3,0.3,56,Wind blowing from the north,2,20–30%.,,,20–30%.,200-300,8,7,,
23.02.2019 08:45,12.2,610,0.5,66,"Calm, no wind",0,20–30%.,6.9,,"10%  or less, but not 0",300-600,8,6,2,24
23.02.2019 05:45,7.4,609.5,,,"Calm, no wind",0,20–30%.,,,20–30%.,300-600,6,,,
22.02.2019 17:45,15.6,610.9,-0.8,64,Wind blowing from the east,1,20–30%.,,17,20–30%.,200-300,10,8.8,2,9
22.02.2019 14:45,14.7,611.7,-1.3,67,"Calm, no wind",0,70 – 80%.,,,40%.,200-300,8,8.5,,
22.02.2019 11:45,12.8,613,0.8,75,Wind blowing from the east,2,100%.,,,20–30%.,200-300,6,8.4,,
22.02.2019 08:45,9.2,612.2,1,87,Wind blowing from the south-east,2,100%.,8.5,,20–30%.,200-300,6,7.1,No precipitation,24
22.02.2019 05:45,8.6,611.2,,86,Wind blowing from the east,2,"90  or more, but not 100%",,,50%.,200-300,6,6.4,,
21.02.2019 17:45,13,612.8,-1.1,79,Wind blowing from the east-southeast,2,60%.,,14.7,20–30%.,200-300,8,9.5,0.1,9
21.02.2019 14:45,12.7,613.9,-1.8,76,Wind blowing from the east,2,"90  or more, but not 100%",,,50%.,200-300,8,8.5,,
21.02.2019 11:45,9.7,615.7,1.8,90,Wind blowing from the east,3,100%.,,,60%.,200-300,8,8.1,,
21.02.2019 08:45,6.6,613.9,1.3,95,Wind blowing from the east,3,100%.,,,60%.,200-300,8,5.9,3,24
21.02.2019 05:45,6.4,612.6,,88,Wind blowing from the east,2,100%.,,,70 – 80%.,200-300,6,4.5,,
20.02.2019 17:45,10.7,611.8,-0.1,63,Wind blowing from the east,1,"90  or more, but not 100%",,15.8,40%.,200-300,10,3.9,No precipitation,9
20.02.2019 14:45,15,611.9,0,46,"Calm, no wind",0,60%.,,,40%.,200-300,10,3.4,,
20.02.2019 11:45,9,611.9,0,70,Wind blowing from the east,3,60%.,,,20–30%.,200-300,8,3.7,,
20.02.2019 08:45,9,611.9,,63,Wind blowing from the east,3,60%.,4.1,,20–30%.,200-300,8,2.3,3,24
20.02.2019 05:45,4.2,610.9,,100,"Calm, no wind",0,20–30%.,,,20–30%.,200-300,6,4.2,,
19.02.2019 17:45,9.6,608.9,-0.6,80,Wind blowing from the east-southeast,2,70 – 80%.,,13.3,50%.,200-300,10,6.2,3,9
19.02.2019 14:45,11.7,609.5,,74,Wind blowing from the east,1,"90  or more, but not 100%",,,60%.,200-300,10,7.2,,
18.02.2019 11:45,12.8,607.6,,100,Wind blowing from the east,5,40%.,,,40%.,200-300,6,12.8,,
18.02.2019 08:45,8.4,607.6,0.9,76,Wind blowing from the east,1,20–30%.,5.5,,20–30%.,300-600,8,4.4,No precipitation,24
18.02.2019 05:45,5.8,606.7,,92,Wind blowing from the east-southeast,1,100%.,,,60%.,200-300,6,4.6,,
17.02.2019 17:45,9,606.7,-0.5,79,Wind blowing from the south,2,60%.,,14.8,40%.,200-300,10,5.5,No precipitation,9
17.02.2019 14:45,13.6,607.2,-1.3,58,Wind blowing from the east,1,20–30%.,,,20–30%.,200-300,10,5.4,,
17.02.2019 11:45,12.2,608.5,0.3,75,"Calm, no wind",0,20–30%.,,,20–30%.,200-300,10,7.9,,
17.02.2019 08:45,6.8,608.2,0.4,81,"Calm, no wind",0,no clouds,2.3,,,,10,3.7,3,24
17.02.2019 05:45,2.4,607.8,,97,"Calm, no wind",0,no clouds,,,,,6,2,,
17.02.2019 02:45,6.8,608.2,,81,"Calm, no wind",0,no clouds,,,,,10,3.7,3,24
16.02.2019 17:45,6.8,608.6,-1.8,100,Wind blowing from the east,1,100%.,,7.8,60%.,200-300,6,6.8,3,9
16.02.2019 14:45,6.5,610.4,-0.3,97,"Calm, no wind",0,100%.,,,50%.,200-300,6,6.1,,
16.02.2019 11:45,6,610.7,,100,Wind blowing from the east,2,100%.,,,60%.,200-300,6,6,,
16.02.2019 05:45,4.4,609.4,,100,Wind blowing from the south-east,2,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,4.4,,
15.02.2019 17:45,6.2,610.3,-0.9,89,"Calm, no wind",0,100%.,,10.6,60%.,200-300,6,4.5,3,9
15.02.2019 14:45,10.2,611.2,-1.5,80,Wind blowing from the east,2,100%.,,,50%.,200-300,8,6.8,,
15.02.2019 11:45,6.6,612.7,1.4,95,"Calm, no wind",0,100%.,,,60%.,200-300,8,5.9,,
15.02.2019 08:45,5.6,611.3,1,90,Wind blowing from the east,4,100%.,,,60%.,200-300,8,4.1,16,24
15.02.2019 05:45,5.8,610.3,,80,Wind blowing from the south,3,no clouds,,,,,6,2.6,,
14.02.2019 17:45,5.8,611.4,-0.7,97,Wind blowing from the south,2,Sky obscured by fog and/or other meteorological phenomena.,,12.8,,,0.2,5.4,7,9
14.02.2019 14:45,7.6,612.1,-0.7,84,Wind blowing from the east,2,100%.,,,20–30%.,100-200,8,5,,
14.02.2019 11:45,10.5,612.8,1.3,75,Wind blowing from the south,2,100%.,,,60%.,200-300,8,6.2,,
14.02.2019 08:45,10.4,611.5,1,71,"Calm, no wind",0,100%.,10.1,,50%.,200-300,8,5.3,No precipitation,24
14.02.2019 05:45,11.8,610.5,,59,Wind blowing from the south-east,2,no clouds,,,,,6,4,,
13.02.2019 17:45,13,612.8,-0.9,62,Wind blowing from the east,2,70 – 80%.,,18.8,40%.,200-300,10,5.8,No precipitation,9
13.02.2019 14:45,17.8,613.7,-1.4,51,Wind blowing from the east,2,50%.,,,40%.,300-600,10,7.6,,
13.02.2019 11:45,16.4,615.1,0.8,50,Wind blowing from the south,1,70 – 80%.,,,60%.,200-300,10,6,,
13.02.2019 08:45,10,614.3,1,70,"Calm, no wind",0,"90  or more, but not 100%",8,,60%.,300-600,8,4.8,No precipitation,24
13.02.2019 05:45,8,613.3,,77,"Calm, no wind",0,no clouds,,,,,6,4.2,,
12.02.2019 17:45,13.7,611.5,,54,Wind blowing from the east,2,20–30%.,,18.2,20–30%.,200-300,10,4.5,No precipitation,9
12.02.2019 08:45,7.8,613.2,1.3,82,"Calm, no wind",0,50%.,,,60%.,300-600,8,4.8,No precipitation,24
12.02.2019 05:45,7.6,611.9,,75,"Calm, no wind",0,no clouds,,,,,6,3.4,,
11.02.2019 17:45,12.2,610.8,-0.7,76,Wind blowing from the east,1,50%.,,15.2,20–30%.,300-600,10,8.1,No precipitation,9
11.02.2019 14:45,13.1,611.5,-1,66,Wind blowing from the south,2,60%.,,,40%.,200-300,10,6.8,,
11.02.2019 11:45,13.8,612.5,0.7,55,Wind blowing from the east,2,50%.,,,,300-600,10,4.9,,
11.02.2019 08:45,7.2,611.8,1.2,79,"Calm, no wind",0,40%.,6.1,,"10%  or less, but not 0",200-300,8,3.8,No precipitation,24
11.02.2019 05:45,6.6,610.6,,81,Wind blowing from the east,2,"90  or more, but not 100%",,,50%.,200-300,6,3.5,,
10.02.2019 17:45,9.4,610.3,-0.8,74,Wind blowing from the east,1,100%.,,14,60%.,200-300,10,5,No precipitation,9
10.02.2019 14:45,12.4,611.1,-0.9,58,"Calm, no wind",0,50%.,,,20–30%.,200-300,10,4.4,,
10.02.2019 11:45,12.8,612,0.9,67,"Calm, no wind",0,60%.,,,40%.,300-600,10,6.7,,
10.02.2019 08:45,5.6,611.1,,82,"Calm, no wind",0,40%.,3.1,,20–30%.,300-600,8,2.8,No precipitation,24
09.02.2019 17:45,8.2,609.4,,63,"Calm, no wind",0,20–30%.,,,20–30%.,200-300,10,1.4,No precipitation,9
09.02.2019 11:45,7.4,610.3,,77,Wind blowing from the east,1,20–30%.,,,20–30%.,200-300,10,3.6,,
08.02.2019 17:45,5.3,609.1,-0.4,96,"Calm, no wind",0,70 – 80%.,,7.3,50%.,200-300,6,4.7,1,9
08.02.2019 14:45,5.7,609.5,-1.5,93,Wind blowing from the south,2,100%.,,,60%.,200-300,6,4.6,,
08.02.2019 11:45,4.7,611,0.7,100,Wind blowing from the east,2,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,4.7,,
08.02.2019 08:45,4.4,610.3,1.4,100,"Calm, no wind",0,100%.,4,,60%.,300-600,6,4.4,34,24
08.02.2019 05:45,2,608.9,,100,Wind blowing from the east,2,100%.,,,60%.,300-600,6,2,,
07.02.2019 17:45,5.6,609.1,-0.6,100,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,6.5,,,0.2,5.6,8,9
07.02.2019 14:45,5.3,609.7,-1.5,100,Wind blowing from the east,4,100%.,,,60%.,300-600,6,5.3,,
07.02.2019 11:45,4.5,611.2,,100,Wind blowing from the south,2,Sky obscured by fog and/or other meteorological phenomena.,,,,,0.2,4.5,,
07.02.2019 05:45,5.1,608.5,,96,Wind blowing from the east,2,100%.,,,60%.,200-300,6,4.5,,
06.02.2019 17:45,7.9,610.3,-0.3,79,"Calm, no wind",0,"90  or more, but not 100%",,19.1,50%.,200-300,8,4.5,0.2,9
06.02.2019 14:45,11.7,610.6,-0.3,52,Wind blowing from the east,2,100%.,,,40%.,200-300,8,2.1,,
06.02.2019 11:45,10.4,610.9,0.5,50,Wind blowing from the south,2,100%.,,,60%.,200-300,8,0.2,,
06.02.2019 08:45,7.4,610.4,0.7,51,Wind blowing from the east,1,"90  or more, but not 100%",6.7,,50%.,200-300,8,-2.3,No precipitation,24
06.02.2019 05:45,7.2,609.7,,59,"Calm, no wind",0,70 – 80%.,,,50%.,200-300,6,-0.3,,
05.02.2019 17:45,12.8,610.9,-1,35,Wind blowing from the south,2,20–30%.,,18.5,20–30%.,100-200,10,-2.3,No precipitation,9
05.02.2019 14:45,18.3,611.9,-1.8,38,Wind blowing from the west,2,60%.,,,50%.,200-300,10,3.6,,
05.02.2019 11:45,15.4,613.7,1.2,36,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,10,0.4,,
05.02.2019 08:45,10,612.5,1,53,Wind blowing from the east,1,40%.,6.9,,"10%  or less, but not 0",300-600,8,0.8,No precipitation,24
05.02.2019 05:45,7.6,611.5,,68,"Calm, no wind",0,no clouds,,,,,6,2.1,,
04.02.2019 17:45,12.4,612.1,-0.8,47,Wind blowing from the east,2,no clouds,,20.1,,,10,1.3,No precipitation,9
04.02.2019 14:45,17.5,612.9,-0.9,39,Wind blowing from the south,2,no clouds,,,,,10,3.4,,
04.02.2019 11:45,17.2,613.8,1.4,43,Wind blowing from the east,1,no clouds,,,,,10,4.6,,
04.02.2019 08:45,10.8,612.4,1.2,47,"Calm, no wind",0,no clouds,5.7,,,,10,-0.2,No precipitation,24
04.02.2019 05:45,5.8,611.2,,64,"Calm, no wind",0,no clouds,,,,,6,-0.6,,
03.02.2019 17:45,11.2,610.9,-0.6,59,"Calm, no wind",0,no clouds,,16.5,,,10,3.5,No precipitation,9
03.02.2019 14:45,15.4,611.5,-0.6,37,Wind blowing from the east,2,no clouds,,,,,10,0.7,,
03.02.2019 11:45,15.4,612.1,0.9,48,"Calm, no wind",0,no clouds,,,,,10,4.4,,
03.02.2019 08:45,9.3,611.2,,52,"Calm, no wind",0,no clouds,4.5,,,,8,-0.1,No precipitation,24
02.02.2019 17:45,10.6,610.1,-0.3,59,Wind blowing from the east,2,"10%  or less, but not 0",,15.2,"10%  or less, but not 0",200-300,10,2.8,No precipitation,9
02.02.2019 14:45,13.9,610.4,,42,Wind blowing from the south,2,"10%  or less, but not 0",,,"10%  or less, but not 0",100-200,10,1.2,,
02.02.2019 08:45,8.4,611.2,1.4,53,"Calm, no wind",0,no clouds,3.5,,,,8,-0.8,No precipitation,24
02.02.2019 05:45,3.8,609.8,,71,"Calm, no wind",0,no clouds,,,,,6,-1,,
01.02.2019 17:45,8.9,610.9,-0.3,65,"Calm, no wind",0,70 – 80%.,,12.4,50%.,200-300,10,2.5,No precipitation,9
01.02.2019 14:45,11.1,611.2,-1.3,54,Wind blowing from the south,2,60%.,,,40%.,300-600,10,2,,
01.02.2019 11:45,10.4,612.5,0.6,73,Wind blowing from the east,1,60%.,,,20–30%.,300-600,10,5.7,,
01.02.2019 08:45,6,611.9,2,88,"Calm, no wind",0,"90  or more, but not 100%",5,,50%.,200-300,8,4.1,No precipitation,24
01.02.2019 05:45,5,609.9,,91,Wind blowing from the east,1,60%.,,,40%.,200-300,6,3.6,,
31.01.2019 17:45,8.8,610.8,-0.9,90,"Calm, no wind",0,60%.,,13,20–30%.,200-300,10,7.2,No precipitation,9
31.01.2019 14:45,12.6,611.7,-0.8,56,"Calm, no wind",0,50%.,,,20–30%.,200-300,10,4.1,,
31.01.2019 11:45,9.7,612.5,0.4,69,"Calm, no wind",0,70 – 80%.,,,50%.,200-300,8,4.3,,
31.01.2019 08:45,6.8,612.1,2.1,74,"Calm, no wind",0,100%.,5.5,,50%.,200-300,8,2.5,No precipitation,24
31.01.2019 05:45,6,610,,76,Wind blowing from the south-east,2,20–30%.,,,20–30%.,300-600,6,2,,
30.01.2019 17:45,9.4,610.3,-0.4,60,Wind blowing from the south,2,70 – 80%.,,13.5,40%.,200-300,10,2,No precipitation,9
30.01.2019 14:45,13.2,610.7,-0.8,36,Wind blowing from the west,3,60%.,,,40%.,300-600,10,-1.5,,
30.01.2019 11:45,11.4,611.5,0.6,51,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,10,1.4,,
30.01.2019 08:45,6.4,610.9,0.9,60,"Calm, no wind",0,"10%  or less, but not 0",2.5,,"10%  or less, but not 0",300-600,8,-0.9,No precipitation,24
30.01.2019 05:45,3.6,610,,73,"Calm, no wind",0,no clouds,,,,,6,-0.8,,
29.01.2019 17:45,7.7,610,-0.7,60,Wind blowing from the south,2,"10%  or less, but not 0",,12.5,"10%  or less, but not 0",200-300,10,0.3,No precipitation,9
29.01.2019 14:45,12,610.7,-0.9,54,"Calm, no wind",0,20–30%.,,,20–30%.,200-300,10,3,,
29.01.2019 11:45,9.2,611.6,1.3,43,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,10,-2.9,,
29.01.2019 08:45,4.4,610.3,0.3,77,"Calm, no wind",0,no clouds,0.5,,,,10,0.6,No precipitation,24
29.01.2019 05:45,1.4,610,,82,Wind blowing from the east,2,no clouds,,,,,6,-1.3,,
28.01.2019 17:45,4.8,610.6,-0.9,60,Wind blowing from the east,2,50%.,,9.4,20–30%.,200-300,10,-2.3,No precipitation,9
28.01.2019 14:45,5.3,611.5,-0.9,67,Wind blowing from the east-southeast,2,70 – 80%.,,,40%.,200-300,10,-0.3,,
28.01.2019 11:45,7.2,612.4,1.1,62,Wind blowing from the east,2,50%.,,,20–30%.,200-300,10,0.3,,
28.01.2019 08:45,2.4,611.3,0.9,100,Wind blowing from the south,2,no clouds,1.1,,,,8,2.4,0.3,24
28.01.2019 05:45,0.4,610.4,,100,Wind blowing from the east,2,60%.,,,20–30%.,200-300,6,0.4,,
27.01.2019 14:45,6,611.4,-1,84,"Calm, no wind",0,"90  or more, but not 100%",,,40%.,300-600,8,3.5,,
27.01.2019 11:45,6.2,612.4,0.3,83,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,10,3.5,,
